time,vel.prac,theta.prac,vel_sp,vel.sim,theta.sim
0,0,-0.995998596325834,0,0,-1
0.0599999999999987,-0.000420090142468021,-0.997747134968432,0,-0.00374754867529317,-0.989368560760953
0.120000000000001,-0.00304177126306993,-0.921747219009894,0,-0.00736671425580358,-0.957270033818659
0.18,-0.00690048377544406,-0.806579166048572,0,-0.0103366713959754,-0.904754716307552
0.239999999999998,-0.0100105415824217,-0.673471058884604,0,-0.0126675322866712,-0.833498228280634
0.300000000000001,-0.0129599322322351,-0.542100410617019,0,-0.0145080190525669,-0.745322557765508
0.359999999999999,-0.0170007702626562,-0.438829010442572,0,-0.0159494131834842,-0.642135385010788
0.420000000000002,-0.0191375671331262,-0.35938857081046,0,-0.0169841413477311,-0.526037114931133
0.48,-0.0173214920033815,-0.261486271687118,0,-0.0175698083532284,-0.399396566397737
0.539999999999999,-0.013192726827401,-0.12062297324912,0,-0.0176763193877712,-0.264827208377568
0.600000000000001,-0.00652765920931175,0.0488834963498498,0,-0.0172887566528429,-0.125126287631779
0.66,0.000165401418118494,0.257855294422843,0,-0.0164173143703416,0.0168019099114442
0.719999999999999,0.00423118242646514,0.499456522233314,0,-0.0150852331957934,0.158017588319165
0.780000000000001,0.00660993536360599,0.706401700928085,0,-0.0133311164724907,0.295613612366259
0.84,0.00816051449147048,0.825000304579401,0,-0.0112032379570783,0.426782527717682
0.899999999999999,0.00914423107468054,0.859417209274245,0,-0.00875306591162512,0.548869372701466
0.960000000000001,0.00960909104920971,0.836135630740771,0,-0.0060320027012535,0.659418292713562
1.02,0.00960420199458545,0.805339461915042,2.89379203302076e-05,-0.00309597735872169,0.756215506366811
1.08,0.0121861523929347,0.771615916917981,0.00646192115341204,-9.65509325506765e-06,0.837335271281366
1.14,0.0259691090595815,0.638516288243176,0.507739888004309,0.00401911981808592,0.90107081393519
1.2,0.0628921758900806,0.251708309938282,1.16958881477661,0.0457858076096039,0.923533289133969
1.26,0.134423535972997,-0.367986551337701,1.98353695721756,0.145904083761355,0.821995811183878
1.32,0.244312048340027,-0.957382728282695,1.99270912477023,0.276895374436967,0.525512622805588
1.38,0.384586284445195,-1.37306007828118,1.9926240182652,0.408936381003939,0.0143796110181384
1.44,0.539187782090829,-1.70409109514544,1.99249690053863,0.525837520884056,-0.691622378071861
1.5,0.690669710534708,-2.16209482845471,1.99302180902085,0.627809543143471,-1.55858245631842
1.56,0.82695902458671,-2.99908371036156,1.99303021951965,0.719585028635915,-2.55468399725608
1.62,0.94400040797597,-4.28990431334611,1.99314930664568,0.804694662812141,-3.6528327970708
1.68,1.04515756298613,-5.82505951282157,1.99284714934906,0.885146764093747,-4.82807851469572
1.74,1.13632265216327,-7.38905025755104,1.99293819128465,0.9594151780518,-6.0540659837071
1.8,1.22041525867392,-8.90078611658496,1.99285365989674,1.02714547594354,-7.30187976284639
1.86,1.29742741908696,-10.3390638399875,1.99330054933619,1.08817017796462,-8.54138569611984
1.92,1.36742410919236,-11.7012210544602,1.99314522329452,1.14226001551996,-9.74226010124968
1.98,1.42973689519643,-12.9652795461548,1.99260592078879,1.19087942037386,-10.8755892375124
2.04,1.48510967546437,-14.1279969724629,1.99071323033316,1.2341753055179,-11.9146014590657
2.1,1.53465975906663,-15.1834512002984,1.9906712,1.2730219297397,-12.8348661031674
2.16,1.57724344101876,-16.0816493030213,1.9906712,1.30836968140401,-13.6150625745461
2.22,1.6136160466851,-16.8071382660489,1.9906712,1.34025436145742,-14.2369049326622
2.28,1.64446309251939,-17.3656872955939,1.9906712,1.3698762676967,-14.6855716870617
2.34,1.67255759597996,-17.7026407134872,1.9906712,1.39749454913504,-14.9499958654145
2.4,1.69895021351755,-17.8081718386167,1.9906712,1.42360259419933,-15.0226950255218
2.46,1.72381023490459,-17.6585266880143,1.99068085227865,1.44913672839712,-14.9001741647959
2.52,1.74813479285486,-17.171573673868,1.99151512294683,1.47409339367497,-14.5827147076094
2.58,1.77238429747614,-16.3303223729079,1.99211846042561,1.49935620232054,-14.0743162628066
2.64,1.79642212118432,-15.1991820903163,1.99228733364402,1.52529052233035,-13.3827785577309
2.7,1.8190896300551,-13.8270070396751,1.99210856621952,1.55213454153271,-12.5192821747791
2.76,1.8407394812645,-12.2906789030993,1.99185271414053,1.5807196434515,-11.4984417381525
2.82,1.861624100612,-10.6636063787442,1.99137190154075,1.61104087470115,-10.3379852180208
2.88,1.8841373880442,-8.95886792765555,1.99098087165191,1.6436614720272,-9.05837963834979
2.94,1.91038417478702,-7.18522464990716,1.9906712,1.6788819751801,-7.68264708232894
3,1.94083521286836,-5.36061783528001,1.9906712,1.71658712203793,-6.23567389312373
3.06,1.97562873670355,-3.46552274503811,1.9906712,1.75718146540984,-4.74386907271034
3.12,2.01225467368605,-1.52690638237015,1.9906712,1.80031359357681,-3.23458601641087
3.18,2.04953475335311,0.398848522606315,1.9906712,1.84584009749447,-1.73537951001646
3.24,2.08466939867949,2.25145353108205,1.9906712,1.89357827873935,-0.273568734558328
3.3,2.11830789468944,3.95054317593771,1.9906712,1.94281747041145,1.12454191963636
3.36,2.15301686421501,5.48635905207964,1.9906712,1.99331635840474,2.43418637750971
3.42,2.18974483600836,6.82381185753664,1.9906712,2.04434864529427,3.6326199917573
3.48,2.22794678684138,7.92035900961888,1.9906712,2.09527417322341,4.69972834152518
3.54,2.26428051605109,8.79879273554434,1.9906712,2.14567677809478,5.61823355469113
3.6,2.29763558479482,9.51022840144875,1.9906712,2.19472781223437,6.37408114042942
