time,vel.prac,vel_sp,vel.sim
0,0,0,0
0.0599999999999996,0.00491205465055078,0,0
0.119999999999999,0.00759762093583682,0,0
0.18,0.00706675721137773,0,0
0.24,0.00413050340962939,0,0
0.300000000000001,0.00158008601258519,0,0
0.359999999999999,0.00152533857085446,0,0
0.42,0.00308404644823113,0,0
0.48,0.0046440594541487,0,0
0.539999999999999,0.0109160979491064,0.0861378319459664,8.63494517588178e-05
0.6,0.0318378151367159,0.927771594033994,0.0284900938201161
0.66,0.0768197189483729,1.97969117707046,0.117079889149256
0.720000000000001,0.153736620297844,1.99985768524323,0.241795395044475
0.779999999999999,0.261936012964184,1.9999208,0.372689039344023
0.84,0.390516640620365,1.9999208,0.492683407642407
0.9,0.5258155515747,1.99994824991679,0.599068882048145
0.960000000000001,0.657333796244171,1.99994995473212,0.697583226881619
1.02,0.776601023981401,1.99995385603914,0.7918553706753
1.08,0.881271905049742,1.99996022170605,0.884144362689429
1.14,0.97554395188508,1.99996034,0.97425733907017
1.2,1.06293009053317,1.99996031827215,1.0605685331735
1.26,1.14705423375683,1.99995908690808,1.14330029006899
1.32,1.22999822404369,1.999959,1.22171442230539
1.38,1.31049522589963,1.999959,1.29611180168169
1.44,1.38602488715268,1.999959,1.36707528004923
1.5,1.45550775038422,1.99995686657382,1.4340842125503
1.56,1.51901645618536,1.99995345047836,1.49786387402034
1.62,1.57831667850441,1.99995337,1.55814159822896
1.68,1.63513144807209,1.9999482278461,1.61488133665475
1.74,1.68906282602919,1.99994353,1.66864226327019
1.8,1.74007411778556,1.99993051610028,1.71896128839744
1.86,1.78710590699121,1.99993067140492,1.76636945299454
1.92,1.83066834713976,1.9999371,1.810883745355
1.98,1.87115815025147,1.9999371,1.85236317921894
2.04,1.90849267739741,1.9999371,1.89137345988586
2.1,1.94372383317746,1.9999371,1.92759800716795
2.16,1.97797836023549,1.9999371,1.96136378056966
2.22,2.01095084992479,1.9999371,1.99285221735318
2.28,2.0413413409092,1.99993593358811,2.02186330717633
