time,vel_sp.x,vel_sp.y,vel_sp.z,vel.x,vel.y,vel.z
0,0,-0.0285833131037097,0.0786467450124804,0,-0.008899646,0.024442596
0.0599999999999996,0.004912054650551,-0.0262538228909259,0.0802063802960801,0,-0.008899646,0.024442596
0.119999999999999,0.00759762093583705,-0.0225655988348699,0.083596857787535,0,-0.008899646,0.024442596
0.18,0.00706675721137795,-0.0192639771678584,0.0866272213712818,0,-0.008899646,0.024442596
0.24,0.00413050340962962,-0.0174992029545979,0.086834954568506,0,-0.008899646,0.024442596
0.300000000000001,0.00158008601258541,-0.0175239611335363,0.0839701965215746,0,-0.008899646,0.024442596
0.359999999999999,0.00152533857085468,-0.018431311843803,0.0789038731248238,0,-0.008899646,0.024442596
0.42,0.00308404644823113,-0.0190561636931749,0.0739286366054536,0,-0.008899646,0.024442596
0.48,0.0046440594541487,-0.0189112094932628,0.0718760528914336,0,-0.008899646,0.024442596
0.539999999999999,0.0109160979491064,-0.0184167183278962,0.0761042502218499,0.0861378319459664,-0.04037338297336,0.024442596
0.6,0.031837815136716,-0.0183184628874349,0.0864890453703604,0.927771594033994,-0.0448595390272913,0.024442596
0.66,0.0768197189483729,-0.0191821177112876,0.09759190630099,1.97969117707046,-0.0717893193596987,0.024442596
0.720000000000001,0.153736620297844,-0.0202595593121003,0.103247094281754,1.99985768524323,-0.00403684402850437,0.024442596
0.779999999999999,0.261936012964184,-0.0201689962903225,0.0995898652336681,1.9999208,0.008899646,0.024442596
0.84,0.390516640620365,-0.0186055388944287,0.0880540394955504,1.9999208,0.008899646,0.024442596
0.9,0.525815551574701,-0.0157252963347955,0.0758452771658558,1.99994824991679,0.00396154257732525,0.024442596
0.960000000000001,0.657333796244171,-0.0118215085326356,0.0701531043306586,1.99994995473212,0.0039496655826383,0.024442596
1.02,0.776601023981401,-0.00792596396874324,0.071151517612229,1.99995385603914,0.00337656977007471,0.024442596
1.08,0.881271905049742,-0.00436634433828274,0.0754438620826673,1.99996022170605,0.000508750823987796,0.024442596
1.14,0.97554395188508,-0.00114884847759988,0.0793627111809948,1.99996034,-0.00036190025,0.024442596
1.2,1.06293009053317,0.00149051491765261,0.0803685197445421,1.99996031827215,-0.00020198186496925,0.024442596
1.26,1.14705423375683,0.00385839718242046,0.0784120662715554,1.99995908690808,0.00162385620740746,0.024442596
1.32,1.22999822404369,0.00602528131284114,0.0749865719000107,1.999959,0.0016984479,0.024442596
1.38,1.31049522589963,0.00773077962979781,0.0709751701402901,1.999959,0.0016984479,0.024442596
1.44,1.38602488715268,0.00935909663037459,0.0680664208480385,1.999959,0.0016984479,0.024442596
1.5,1.45550775038422,0.0111613962425422,0.0668359396347397,1.99995686657382,0.00265340962395312,0.024442596
1.56,1.51901645618536,0.0132721012488646,0.0674641222170754,1.99995345047836,0.00373226523488988,0.024442596
1.62,1.57831667850441,0.0158700879391275,0.0695574663860289,1.99995337,0.0037571378,0.024442596
1.68,1.63513144807209,0.0179025130906771,0.0712485207507288,1.9999482278461,0.00492002818483848,0.024442596
