T_train,MAE_mean,MAE_1,MAE_2
5,0.20286991202713,0.324904036457586,0.0808357875966737
10,0.176426587098288,0.289770530291278,0.0630826439052988
15,0.126500708210001,0.234651639828111,0.0183497765918916
20,0.136409238472511,0.256728079502294,0.0160903974427271
25,0.141642517711822,0.269429321273819,0.0138557141498239
30,0.144029627782677,0.273870327774588,0.0141889277907656
35,0.135817924443077,0.258700532213947,0.0129353166722068
40,0.197041984906187,0.347669985110287,0.0464139847020862
45,0.114792412192442,0.214816354216542,0.014768470168341
50,0.0999502829044501,0.188576338604521,0.0113242272043795
55,0.0901248186998031,0.170494910807135,0.00975472659247103
60,0.08412403619315,0.158759532750981,0.00948853963531894
65,0.0814302231212785,0.152184024633704,0.0106764216088526
70,0.0818074349441137,0.153487548077354,0.0101273218108735
75,0.0819512029401608,0.153899400828434,0.0100030050518876
80,0.0824689856602796,0.155028049019701,0.00990992230085814
85,0.0852778303187988,0.160640433485417,0.00991522715218065
90,0.0886816080210566,0.167304037297422,0.0100591787446908
95,0.0928914084538893,0.175657269849727,0.0101255470580515
100,0.0866797430650296,0.163575735760341,0.00978375036971781
105,0.0785599624737133,0.148319620312336,0.00880030463509058
110,0.0750712349924713,0.141093183141938,0.00904928684300403
115,0.0742057136369484,0.139321989436979,0.00908943783691825
120,0.0736424005966161,0.138217590372516,0.00906721082071674
