Ts,MAE_mean,MAE_1,MAE_2
0.005,0.0878542541735667,0.161449390055479,0.014259118291654
0.01,0.0988141677801799,0.174069682881199,0.0235586526791612
0.015,0.0996387303699054,0.175126157202933,0.0241513035368778
0.02,0.0950141712852426,0.175220328254032,0.014808014316453
0.025,0.0940403254577405,0.174117359005495,0.0139632919099857
0.03,0.0957955153917327,0.17511178000026,0.016479250783205
0.035,0.0957285089554143,0.17487901832548,0.0165779995853482
0.04,0.0958484232096009,0.175662370786011,0.0160344756331912
0.045,0.10272405050201,0.188650132526011,0.0167979684780085
0.05,0.0906931811464208,0.170728175997684,0.0106581862951579
NaN,NaN,NaN,NaN
