T_train,MAE_mean,MAE_1,MAE_2
10,0.0322892189573609,0.0417625891227958,0.0228158487919259
20,0.02830610339057,0.032220421617137,0.0243917851640031
30,0.0299290290110534,0.0351645134696927,0.0246935445524141
40,0.029691576276542,0.0360436374405676,0.0233395151125163
50,0.0235315705786225,0.0287229838063825,0.0183401573508625
60,0.0223310394057821,0.0261874326259055,0.0184746461856587
70,0.0191900754386551,0.0234359206732781,0.014944230204032
80,0.0192479376765115,0.0236481500864661,0.0148477252665569
90,0.0191604020840202,0.0246444003558823,0.0136764038121581
100,0.0194666883661784,0.0253102028724005,0.0136231738599563
110,0.0185318171623751,0.0239541424095741,0.0131094919151761
120,0.0181300956195802,0.0232730735576738,0.0129871176814865
130,0.0180699624808244,0.0231245794613656,0.0130153455002833
140,0.0183471436563668,0.0231541942711927,0.0135400930415409
150,0.0183180577403156,0.0231043021139362,0.013531813366695
160,0.0183087483309064,0.0230894308435238,0.0135280658182889
170,0.0182839990460718,0.0230374385898035,0.0135305595023401
180,0.0182947059661691,0.0234564784005797,0.0131329335317586
190,0.0184075071620786,0.0235995507893199,0.0132154635348373
200,0.0186043411857494,0.0241621213000574,0.0130465610714415
210,0.0180960758863494,0.0231614974018763,0.0130306543708224
220,0.0178807788632093,0.0227425888002015,0.0130189689262171
230,0.0176564928830266,0.0223183799751681,0.012994605790885
240,0.0174247982579288,0.0218867721082692,0.0129628244075884
250,0.0175056684940772,0.02208154954622,0.0129297874419345
