T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
5,0.161814827949561,0.269450832582945,0.0541788233161768,0.0666183559881856,0.0989388316647389,0.0342978803116322
10,0.122663445895272,0.211794354004672,0.0335325377858708,0.0494979414916566,0.0777681246613328,0.0212277583219805
15,0.0836126702779171,0.157715430626963,0.00950990992887138,0.0319656467877778,0.057911049270666,0.0060202443048896
20,0.0836131212322207,0.157853130210246,0.00937311225419503,0.0319476276794152,0.0579616107618299,0.00593364459700045
25,0.0886458921084183,0.157515430629802,0.0197763535870347,0.0351785119174759,0.0578376118800208,0.0125194119549309
30,0.0863156918151746,0.15702401215185,0.0156073714784989,0.0337687045427039,0.0576571694237814,0.00988023966162637
35,0.0867008697383452,0.157454882768379,0.015946856708312,0.0339552650661222,0.057815379494945,0.0100951506372994
40,0.0866742830890984,0.157449405982891,0.0158991601953063,0.0339391624357116,0.0578133684907396,0.0100649563806836
45,0.090498536907892,0.172270447880403,0.00872662593538088,0.0343899242513514,0.0632554617859704,0.0055243867167324
50,0.0904122988118036,0.172478224412251,0.00834637321135647,0.0343077112577417,0.0633317546187344,0.00528366789674896
55,0.0919822609699976,0.175779567281717,0.00818495465827795,0.0348627233091663,0.0645439646657349,0.00518148195259778
60,0.0944179573865064,0.180137379305885,0.0086985354671276,0.0358253502332363,0.066144096408334,0.00550660405813854
65,0.0955546936980836,0.179523164517576,0.011586222878591,0.0366266090272178,0.0659185647483871,0.00733465330604841
70,0.0941632126921383,0.179884768399891,0.00844165698438552,0.0356976641127609,0.0660513409780938,0.00534398724742809
75,0.0937129747639852,0.179044107211034,0.00838184231693636,0.0355243913757715,0.0657426611530805,0.00530612159846264
80,0.0933561237781758,0.178382545071703,0.00832970248464915,0.0353864293319242,0.0654997441633217,0.00527311450052663
85,0.0912365277512753,0.173951422378587,0.00852163312396391,0.0346336549033215,0.0638726936991705,0.00539461610747251
90,0.0903268208407466,0.172123874296281,0.00852976738521203,0.0343007036877067,0.0632016418774292,0.00539976549798407
95,0.0898276978502195,0.171096653602081,0.00855874209835809,0.0341212838812502,0.0628244598350813,0.00541810792741905
100,0.092768771251999,0.176279740451517,0.0092578020524812,0.0352941346275408,0.0647276217306461,0.00586064752443556
105,0.0947169478922643,0.178453306038943,0.0109805897455856,0.0362384920923888,0.0655257266676587,0.0069512575171189
110,0.0954658312069359,0.182993791865853,0.00793787054801873,0.0361089996566801,0.067192933848273,0.00502506546508712
115,0.095573551168332,0.180241908007577,0.010905194329087,0.0365430032330933,0.0661824779843778,0.00690352848180885
120,0.0956645659682966,0.180563713716497,0.0107654182200962,0.0365578420606144,0.0663006408438441,0.0068150432773847
