T_train,MAE_mean,MAE_1,MAE_2
5,0.0216742527682829,0.0337984002154782,0.00955010532108755
10,0.0203212123963313,0.0313982179137118,0.00924420687895091
15,0.0194305812005999,0.030855431343565,0.00800573105763483
20,0.0186951302672206,0.028734726909848,0.0086555336245933
25,0.0191681228877891,0.0298455068503623,0.00849073892521596
30,0.0192637005571683,0.0303316301837241,0.00819577093061253
35,0.0192565837606293,0.0303752802966441,0.0081378872246145
40,0.0193586595780492,0.0305950646553591,0.00812225450073919
45,0.0193075407708217,0.0316718192779147,0.00694326226372868
50,0.0154735999209881,0.020882391981699,0.0100648078602773
55,0.0141752061171186,0.0186467573168474,0.00970365491738989
60,0.0131900224793805,0.0167087056623616,0.00967133929639933
65,0.0125199054863462,0.0153597565789568,0.00968005439373563
70,0.0110256910351662,0.0138692576289395,0.00818212444139289
75,0.011169088934156,0.0140797329380774,0.00825844493023458
80,0.0112355453419482,0.014198947165832,0.00827214351806445
85,0.011293808320523,0.0145290591559911,0.00805855748505492
90,0.0114363950831632,0.0145715539612066,0.00830123620511971
95,0.0117389328397854,0.0155091609023496,0.00796870477722118
100,0.011981905707403,0.0159919142045833,0.00797189721022265
105,0.0106115225549385,0.0142448808590495,0.00697816425082744
110,0.0103221326016857,0.0136262901963299,0.00701797500704158
115,0.0100917654895381,0.0133777227267884,0.0068058082522877
120,0.0100664167255128,0.0133031141255363,0.00682971932548927
125,0.0100010218844772,0.0132547129771491,0.00674733079180529
130,0.0100125177873338,0.0132534452249389,0.00677159034972882
135,0.0100132717327518,0.0132522602804725,0.00677428318503104
140,0.00995490066189842,0.0133198844419258,0.00658991688187105
145,0.0100147363416967,0.0133765523677545,0.006652920315639
150,0.0101029964980454,0.0134323688679558,0.006773624128135
155,0.0100929210444769,0.0134069598695415,0.0067788822194124
160,0.0100933630741881,0.0134031646798523,0.00678356146852395
165,0.0100925513407957,0.0133986460057824,0.00678645667580893
170,0.0100870251754024,0.0133791133106277,0.00679493704017719
175,0.010074807559341,0.0133514250065701,0.00679819011211186
180,0.0100660166083403,0.013422026041079,0.00671000717560164
185,0.0101811085163473,0.0135822074164814,0.00678000961621311
190,0.010247314791679,0.0137212569434387,0.00677337263991932
195,0.010328487888925,0.0138843861385067,0.00677258963934324
200,0.0104189362292389,0.0140667357778015,0.00677113668067622
205,0.0199036480831201,0.029004770899372,0.0108025252668682
210,0.020514117297487,0.026954082745487,0.014074151849487
215,0.0202635419311547,0.0265724609882381,0.0139546228740713
220,0.0201099272424275,0.0262859641234315,0.0139338903614235
225,0.0204178345157858,0.0268941735219976,0.0139414955095741
230,0.0202047274680468,0.0264969964977599,0.0139124584383337
235,0.0200878993557396,0.0262766787671873,0.0138991199442919
240,0.0290929981522657,0.0404150746726751,0.0177709216318562
245,0.0303127915184455,0.0423624386755856,0.0182631443613054
250,0.0345661626203758,0.0514011331398978,0.0177311921008539
