Ts,MAE_mean,MAE_1,MAE_2
0.005,0.0877223881751208,0.15725168202187,0.0181930943283717
0.01,0.107034211604819,0.186616879659026,0.0274515435506134
0.015,0.105920262068626,0.183999298383603,0.027841225753649
0.02,0.101058719352719,0.183185463580468,0.0189319751249696
0.025,0.0991673907727687,0.180263581672366,0.0180711998731709
0.03,0.106099804652948,0.186282182584738,0.0259174267211586
0.035,0.106508437352024,0.185401762477893,0.0276151122261548
0.04,0.106894109329007,0.187173254254124,0.0266149644038906
0.045,0.117119053134304,0.202722605104763,0.031515501163845
0.05,0.0992527180164626,0.175165010742207,0.023340425290718
NaN,NaN,NaN,NaN
