T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
5,0.18002597883316,0.206072456530572,0.153979501135749,0.0823196181124025,0.0768208236754465,0.0878184125493584
10,0.143629869624488,0.194131639652042,0.0931280995969338,0.062741388043797,0.0723694602889463,0.0531133157986477
15,0.0908786066158334,0.161915701955711,0.0198415112759557,0.0358379713390977,0.0603598258575644,0.011316116820631
20,0.0888585543498338,0.162388593063642,0.0153285156360254,0.0346391769089481,0.0605361128055227,0.00874224101237358
25,0.0875584053183348,0.160119278234928,0.0149975324017413,0.0341218090136704,0.0596901451431978,0.00855347288414295
30,0.0886420812129383,0.162016505780302,0.0152676566455744,0.0345524678245784,0.0603974040616829,0.00870753158747389
35,0.0883079610895568,0.161359285664072,0.0152566365150412,0.0344268242299783,0.0601524019322626,0.00870124652769402
40,0.0881458690855954,0.162206421723609,0.0140853164475819,0.0342507074871311,0.0604682019715034,0.00803321300275879
45,0.0960008866171796,0.166990241610897,0.0250115316234619,0.0382581255661489,0.0622515406585051,0.0142647104737927
50,0.0954046585888236,0.166746789625845,0.0240625275518023,0.0379421273425552,0.0621607852886125,0.013723469396498
55,0.0963526054583062,0.168168489064007,0.0245367218526053,0.0383423443250519,0.0626907742240446,0.0139939144260592
60,0.0972450450030963,0.17159176787281,0.022898322133383,0.0385132082307683,0.0639669229252852,0.0130594935362514
65,0.0970637534166919,0.173258987452358,0.0208685193810262,0.0382451418923591,0.0645884382093024,0.0119018455754158
70,0.0968400681051271,0.171038867861882,0.0226412683483723,0.0383368495326702,0.0637608098184453,0.0129128892468951
75,0.0964544983604649,0.17066019532911,0.0222488013918201,0.0381543507912397,0.0636196461891055,0.0126890553933739
80,0.096502966323793,0.170190323833969,0.0228156088136169,0.0382284024711963,0.0634444849090099,0.0130123200333827
85,0.0955948639946518,0.168879057851838,0.0223106701374652,0.0378400023359601,0.0629556639646643,0.0127243407072559
90,0.0954459484849326,0.168379074075291,0.0225128228945743,0.0378044554057373,0.0627692772626986,0.0128396335487761
95,0.0951688075955844,0.167529738313752,0.022807876877417,0.0377302837603139,0.0624526572064479,0.0130079103141799
100,0.0963506586346813,0.172958300762725,0.0197430165066373,0.0378681446642604,0.0644763465714642,0.0112599427570566
