Ts,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
0.005,0.0878542541735667,0.161449390055479,0.014259118291654,0.0341591640713872,0.0601859915428355,0.00813233659993883
0.01,0.0988141677801799,0.174069682881199,0.0235586526791612,0.0391633752471497,0.064890653709821,0.0134360967844784
0.015,0.0996387303699054,0.175126157202933,0.0241513035368778,0.0395292963044013,0.0652844920177344,0.0137741005910682
0.02,0.0950141712852426,0.175220328254032,0.014808014316453,0.0368824917681483,0.0653195976200725,0.00844538591622415
0.025,0.0940403254577405,0.174117359005495,0.0139632919099857,0.0364360229967725,0.0649084266776388,0.00796361931590614
0.03,0.0957955153917327,0.17511178000026,0.016479250783205,0.0373388334202708,0.0652791324050521,0.00939853443548952
0.035,0.0957285089554143,0.17487901832548,0.0165779995853482,0.0373236078041195,0.0651923622278158,0.00945485338042311
0.04,0.0958484232096009,0.175662370786011,0.0160344756331912,0.0373146262797833,0.0654843846662306,0.00914486789333609
0.045,0.10272405050201,0.188650132526011,0.0167979684780085,0.0399531705658437,0.0703260339160382,0.00958030721564913
0.05,0.0906931811464208,0.170728175997684,0.0106581862951579,0.0348618111015029,0.0636449883966076,0.0060786338063982
NaN,NaN,NaN,NaN,NaN,NaN,NaN
