T_train,MAE_mean,MAE_1,MAE_2
4,0.0766956278547381,0.0587234813022193,0.094667774407257
5,0.00132250524944028,0.000531087514150246,0.00211392298473031
6,0.0394962422304844,0.0303012232869383,0.0486912611740306
8,0.0408118018826813,0.0266097718536992,0.0550138319116634
10,0.0465205386876085,0.0298565592511359,0.063184518124081
12,0.0509015944098331,0.0330424769623331,0.068760711857333
14,0.0535484523278602,0.0342426057063989,0.0728542989493214
15,0.00152888959186694,0.000525978621252306,0.00253180056248157
16,0.0545479128490824,0.0349397543204975,0.0741560713776674
18,0.0277739335876868,0.0291783417376939,0.0263695254376797
20,0.0266647796287382,0.033155690087913,0.0201738691695635
25,0.000352882349617623,0.000110493257837107,0.000595271441398138
30,0.0277972672173859,0.0352191858986609,0.020375348536111
35,0.00036268452811518,0.000110634819974142,0.000614734236256219
40,0.0279849067473101,0.0345955265001586,0.0213742869944617
45,0.000362665172551983,0.000110639111078809,0.000614691234025156
50,0.0276361191631753,0.0264055009469561,0.0288667373793944
55,0.000442988520891893,0.000131774276679794,0.000754202765103992
60,0.0234045513081927,0.0187607796432539,0.0280483229731316
65,0.000444617479551059,0.000132122140004151,0.000757112819097967
70,0.0184364930580839,0.0147153252051273,0.0221576609110404
75,0.000369017140228482,0.000111595289865072,0.000626438990591892
80,0.0186267032947814,0.0150429082289304,0.0222104983606323
85,0.000369785661680264,0.000111746802986116,0.000627824520374412
90,0.0187650682504807,0.0154111895891639,0.0221189469117975
95,0.000369053471157659,0.000111692832391036,0.000626414109924282
100,0.0195022073742067,0.0161472968144996,0.0228571179339139
105,0.000320313521997515,9.94094331028614e-05,0.000541217610892168
110,0.0168089915593424,0.0144039526678735,0.0192140304508113
115,0.000315574544915122,9.87366262119351e-05,0.000532412463618308
120,0.0163597182910735,0.0140077924843125,0.0187116440978346
