T_train,MAE_mean,MAE_1,MAE_2
5,0.119284286766984,0.193001491574702,0.0455670819592654
10,0.150388551819954,0.207635037118859,0.0931420665210489
15,0.0817502469660233,0.149925907822514,0.0135745861095324
20,0.0835050167057287,0.152932255994219,0.0140777774172379
25,0.0886464196928218,0.146911615146373,0.0303812242392708
30,0.0926324380723431,0.158194222630901,0.0270706535137848
35,0.0938206216753398,0.160971404073237,0.0266698392774423
45,0.0966693759607458,0.181788400506952,0.0115503514145397
50,0.0974308476928643,0.183286094006529,0.0115756013791996
55,0.0974862204114611,0.170727639017875,0.0242448018050477
60,0.0983493057412123,0.172851391809053,0.0238472196733711
65,0.0997101437923059,0.17369736335916,0.0257229242254518
70,0.0985040534223762,0.172607304729255,0.0244008021154973
75,0.0978668320945713,0.17169252548311,0.0240411387060329
80,0.097799767344327,0.176137777157926,0.0194617575307281
85,0.0962712438385123,0.168403602806642,0.0241388848703823
90,0.0947007517081505,0.171235981909212,0.018165521507089
95,0.0935421316681853,0.168955515438792,0.0181287478975786
100,0.0966950005536337,0.181100777691692,0.0122892234155751
105,0.0980324679261149,0.168994168738861,0.0270707671133688
110,0.0981557187204158,0.169141622016117,0.0271698154247142
115,0.0984220350757503,0.16967337099515,0.0271706991563506
120,0.0986617907586745,0.17002394079649,0.0272996407208589
