index,S
14,0.13050796144544
15,0.100449679291007
16,0.0895798108441605
17,0.0766948047243855
18,0.0667370916859612
19,0.0635663013836699
20,0.0602319180170147
21,0.0545363046589598
22,0.0535620787692902
23,0.0517404917069601
24,0.0507580407739768
25,0.0491904944638622
26,0.0468769021513276
27,0.0446790704960417
28,0.042188377419918
29,0.0416544154682184
30,0.0382493575583891
31,0.0379919545709455
32,0.0323331922184614
33,0.0303939327391372
34,0.0294268233499663
35,0.0279847237877224
36,0.0275114157726614
37,0.0261058058468168
38,0.0258276571837595
39,0.0237067785395677
40,0.0229731404058826
41,0.0226856617184379
42,0.0210363589159079
43,0.020573794915784
44,0.0189783389198391
45,0.0187815091383267
46,0.0185137675951837
47,0.0173314277931086
48,0.0165724714786159
49,0.0165343972795773
50,0.0159433561746534
51,0.0158625643791783
52,0.0148432115959809
53,0.0147603052014331
54,0.0143618330043806
55,0.0141201610220623
56,0.0134456577415161
57,0.0126283073770815
58,0.0110860339716035
59,0.0107203393204077
