q,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
6,0.119175097844674,0.165763384909965,0.0725868107793828,0.0590993270587916,0.061450153839509,0.0567485002780743
7,0.119537055238966,0.167491486389341,0.0715826240885907,0.0590271018698002,0.0620907784371282,0.0559634253024722
8,0.119837890688926,0.172212510404329,0.0674632709735233,0.0582919085430531,0.0638409095179975,0.0527429075681088
9,0.116555182307162,0.162974574536395,0.0701357900779278,0.0576243008185288,0.0604163137874482,0.0548322878496094
10,0.117561305182959,0.167786604246425,0.0673360061194921,0.0574217966345874,0.0622001815946979,0.0526434116744769
11,0.11832729429799,0.169679468511399,0.0669751200845806,0.0576315778659858,0.0629018854139288,0.0523612703180427
12,0.118068117765045,0.169825977301759,0.0663102582283321,0.0573988389046311,0.0629561976959285,0.0518414801133336
13,0.11746512954114,0.169101329622941,0.0658289294593391,0.0570763699613747,0.0626875635137357,0.0514651764090138
14,0.11598756520037,0.167024781603621,0.0649503487971194,0.0563480333668927,0.0619177662794933,0.0507783004542921
15,0.11467254090437,0.165309660972907,0.0640354208358339,0.0556724809641385,0.0612819538130193,0.0500630081152578
16,0.110560539532028,0.161989381701328,0.0591316973627288,0.0531401805541882,0.0600510928955767,0.0462292682127996
17,0.108351757869909,0.162102503427519,0.0546010123122984,0.051390099341342,0.0600930282571212,0.0426871704255629
18,0.106174496139485,0.16244479222704,0.0499042000519298,0.0496175561209127,0.0602199181574422,0.0390151940843831
19,0.101338544748865,0.157103706632206,0.0455733828655244,0.0469346386843523,0.0582399240130731,0.0356293533556316
20,0.0981265855239715,0.156116921846662,0.0401362492012812,0.0446263526838695,0.0578741129691498,0.0313785923985891
21,0.0964548791541847,0.157285074007016,0.0356246843013534,0.0430793007512891,0.0583071587228951,0.0278514427796831
22,0.0946652195707884,0.158004388363378,0.0313260507781984,0.0415322895430159,0.0585738157888173,0.0244907632972145
23,0.0927153600299857,0.157459567881108,0.0279711521788638,0.0401198714230984,0.0583718453568754,0.0218678974893214
24,0.0911545468571126,0.158239110093722,0.0240699836205035,0.038739393165902,0.0586608294948112,0.0188179568369928
25,0.0891650384721231,0.15674787172016,0.0215822052240859,0.0374905098042835,0.0581080124326081,0.0168730071759589
26,0.088212950966344,0.156822635398632,0.0196032665340556,0.036730798700042,0.0581357280801029,0.0153258693199811
27,0.0875729550336079,0.157331117589087,0.0178147924781287,0.0361259323010537,0.0583242275418211,0.0139276370602863
28,0.0865760292249239,0.157858693145731,0.0152933653041163,0.0352380929151614,0.0585198051064042,0.0119563807239185
29,0.0848158130207594,0.154814860859438,0.0148167651820809,0.034487599875475,0.0573914258665862,0.0115837738843639
30,0.0845968615780998,0.155341137409993,0.0138525857462066,0.034208249264872,0.0575865218765482,0.0108299766531957
31,0.0841758151979852,0.155179364434144,0.0131722659618269,0.0339123262098623,0.0575265510074784,0.0102981014122461
32,0.0839896005390329,0.156048012534707,0.0119311885433593,0.0335881962152141,0.0578485675941992,0.009327824836229
33,0.0836995028604128,0.156112629567254,0.011286376153572,0.0333481155593792,0.0578725217780066,0.00882370934075191
34,0.0829130797059601,0.155735520744367,0.0100906386675536,0.0328108016754883,0.0577327237448449,0.00788887960613168
35,0.082638149755772,0.155135157610266,0.0101411419012775,0.0327192631095567,0.0575101630932865,0.00792836312582695
36,0.0826272903647339,0.155375298661913,0.00987928206755512,0.0326614132146102,0.0575991857961887,0.00772364063303172
37,0.0823563230885077,0.15491068764308,0.00980195853393487,0.0325450693866219,0.0574269498189955,0.00766318895424827
38,0.0827263686406734,0.155540200785027,0.00991253649631995,0.0327049778386771,0.0576603166716188,0.00774963900573532
39,0.081923327631915,0.153800853679577,0.0100458015842534,0.032434674550215,0.0570155232073187,0.00785382589311124
40,0.0818074349441137,0.153487548077354,0.0101273218108735,0.0324084681119031,0.056899377669715,0.00791755855409121
41,0.08184072120951,0.153374516118491,0.010306926300529,0.0324577246277878,0.0568574755858219,0.00805797366975371
42,0.0820697699218267,0.153611710845023,0.01052782899863,0.0325880409280159,0.0569454060563732,0.00823067579965872
43,0.0818574284808835,0.155394144629508,0.00832071233225901,0.0320556600869819,0.0576061721859067,0.006505147988057
44,0.0816296708207443,0.154867243025791,0.00839209861569748,0.0319859011881674,0.0574108444624515,0.00656095791388322
45,0.0820300663236971,0.155529046327417,0.008531086319977,0.0321629001775494,0.0576561816020044,0.00666961875309446
46,0.0822905792645013,0.154574017430012,0.0100071410989909,0.0325628719204067,0.0573021427851777,0.00782360105563578
47,0.0823016045221367,0.156034072240201,0.00856913680407277,0.0322713832386912,0.0578433997868307,0.00669936669055175
48,0.0823159939053545,0.15609501191948,0.00853697589122942,0.0322701069846887,0.0578659907387992,0.00667422323057827
49,0.081909596129201,0.154988709595067,0.00883048266333493,0.0321797803492161,0.0574558733412502,0.00690368735718207
50,0.0821219790408965,0.155254291743345,0.00898966633844776,0.0322912323787696,0.0575543273145301,0.00702813744300911
