T_train,MAE_mean,MAE_1,MAE_2
4,0.0768459446316866,0.0432973831739985,0.110394506089375
5,0.00132041728424789,0.000538696810684833,0.00210213775781095
6,0.0537904937178582,0.0419837712019723,0.0655972162337441
8,0.0532463989067214,0.041458974233716,0.0650338235797269
10,0.0518090513899484,0.0371359869669573,0.0664821158129395
12,0.0520316061372995,0.036768030918124,0.067295181356475
14,0.0529937597270134,0.0364862784606496,0.0695012409933772
15,0.0014457877752335,0.000853717902565129,0.00203785764790186
16,0.0531978589714877,0.036359285220188,0.0700364327227875
18,0.0277776278867572,0.0291784681214745,0.02637678765204
20,0.0257165034124497,0.0311069089777584,0.0203260978471411
25,0.000353553302738457,0.000110502686426472,0.000596603919050441
30,0.000357872458249975,0.000111025357259869,0.000604719559240082
35,0.00036421663590356,0.000110851469420543,0.000617581802386577
40,0.000364176140132813,0.000110847031366187,0.000617505248899438
45,0.000364186998841395,0.000110853724240145,0.000617520273442644
50,0.000443481900645745,0.000131803566953501,0.000755160234337989
55,0.000443595896431875,0.000131906438577439,0.000755285354286311
60,0.000444046739834135,0.000132018252553062,0.000756075227115208
65,0.000445113372555973,0.000132231857035694,0.000757994888076252
70,0.000366621606000853,0.000111431357457067,0.00062181185454464
75,0.000369233216358713,0.000111646958639987,0.000626819474077439
80,0.000369695003899106,0.000111732618503575,0.000627657389294637
85,0.00037000257591878,0.000111798028512109,0.00062820712332545
90,0.000369139932291491,0.000111716241783821,0.00062656362279916
95,0.000369233258557711,0.000111736623994599,0.000626729893120824
100,0.000369392845453615,0.000111768703424822,0.000627016987482407
105,0.00031974667647025,9.93468405079874e-05,0.000540146512432513
110,0.000319811511548955,9.92931817601747e-05,0.000540329841337735
115,0.000314533610368593,9.84166546703961e-05,0.000530650566066789
120,0.000314969174824507,9.86252351050718e-05,0.000531313114543942
