T_train,MAE_mean,MAE_1,MAE_2
5,0.0242800404153894,0.0287414703264924,0.0198186105042863
10,0.0231589063045933,0.0361137567769115,0.010204055832275
15,0.0168174326438087,0.0248899620407779,0.00874490324683949
20,0.0184184590060824,0.02782021858227,0.00901669942989486
25,0.0188553766417706,0.0288889327939459,0.0088218204895952
30,0.0187983788537866,0.029321482672759,0.00827527503481416
35,0.0189662761709757,0.0297085406582379,0.00822401168371351
40,0.0191066601568987,0.0300064184359537,0.00820690187784373
45,0.0192427492409365,0.030282980917922,0.00820251756395099
50,0.0150176814234358,0.020096345997436,0.00993901684943551
55,0.014020234880241,0.0183579510747106,0.00968251868577149
60,0.0131655373021558,0.016667600790103,0.0096634738142086
65,0.0126198861241653,0.0155641079496332,0.00967566429869737
70,0.0110175399527798,0.0138085604934612,0.00822651941209847
75,0.0111863025664749,0.0140594778031298,0.00831312732982007
80,0.0112420198987302,0.0141615390114981,0.00832250078596225
85,0.0112902014066843,0.0142511507011894,0.00832925211217912
90,0.0114333843074643,0.0144491793151281,0.00841758929980055
95,0.0117877281749701,0.0151520214014865,0.00842343494845373
100,0.0121147603756663,0.0162425040219832,0.00798701672934942
105,0.0104914101465138,0.014092579264931,0.00689024102809666
110,0.0102268512376555,0.0135150256208658,0.00693867685444518
115,0.0100237465705035,0.0132395376852268,0.00680795545578016
120,0.0100073987535796,0.0131831614594541,0.00683163604770499
125,0.00993658713412305,0.0131110084250801,0.00676216584316596
130,0.00994393783651538,0.0131063480787335,0.00678152759429724
135,0.00994723218327291,0.0131104330028439,0.00678403136370197
140,0.00989357628275302,0.0131466704253004,0.00664048214020567
145,0.00994806462272723,0.0132075107003976,0.00668861854505682
150,0.0101506121824504,0.0134089177425014,0.00689230662239935
155,0.0101322262639,0.0133721622546342,0.00689229027316578
160,0.0101330514937842,0.0133695235869801,0.00689657940058832
165,0.0101328200187949,0.0133657375158368,0.00689990252175303
170,0.0101333039163172,0.0133580192647565,0.00690858856787796
175,0.0101212662758099,0.0133303252903656,0.00691220726125415
180,0.0100985176658815,0.0133316561749479,0.00686537915681507
185,0.0102242096865152,0.0135293567378748,0.00691906263515568
190,0.0102944039486196,0.013672977519007,0.00691583037823216
195,0.0103808339977889,0.0138442701434157,0.00691739785216212
200,0.0104732082624979,0.0140285114034099,0.00691790512158601
205,0.0198706273590291,0.028460346834075,0.0112809078839831
210,0.0207378455299129,0.0269971949595308,0.014478496100295
215,0.02062871877103,0.0267824844937542,0.0144749530483059
220,0.0204550245486196,0.0273381238849725,0.0135719252122666
225,0.0209319097974743,0.0273242922941417,0.0145395273008068
230,0.020666869458761,0.0277013829547897,0.0136323559627323
235,0.0204698227955466,0.0273194018954861,0.0136202436956071
240,0.0285836123865875,0.0339074827881785,0.0232597419849966
245,0.0288481294009547,0.0352948378923662,0.0224014209095432
250,0.0328148890314865,0.0383344800128708,0.0272952980501022
