T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
2,0.13083606024179,0.196108616817912,0.0655635036656684,0.0605658086860978,0.0742539472203625,0.0468776701518332
3,0.10835746615799,0.181016730577761,0.0356982017382188,0.0470318446957808,0.0685396030853855,0.0255240863061762
4,0.102204583125391,0.172825560329586,0.0315836059211962,0.044010144649631,0.0654381242562031,0.0225821650430589
5,0.10197694156965,0.174678824209265,0.0292750589300342,0.0435357002277553,0.0661398382376691,0.0209315622178416
6,0.095492775783318,0.174482390517033,0.0165031610496031,0.0389325811053475,0.0660654612049208,0.0117997010057743
7,0.0947803707185355,0.174180877968323,0.0153798634687481,0.038473922353526,0.0659512974458699,0.010996547261182
8,0.0946039022839492,0.176649678560419,0.0125581260074788,0.037932545696425,0.0668860763038194,0.00897901508903059
9,0.0951067101398899,0.175197722650856,0.0150156976289234,0.0385362411476797,0.0663363123045399,0.0107361699908195
10,0.0953893946977327,0.176126076086277,0.0146527133091884,0.0385822293100045,0.0666878211169222,0.0104766375030868
11,0.0939178171569884,0.174093274931333,0.0137423593826435,0.0378719327084137,0.0659181277086573,0.00982573770817018
12,0.0922809307885265,0.170379888557994,0.0141819730190588,0.037326081352247,0.0645121028217919,0.0101400598827021
13,0.0937828481371686,0.173304388574518,0.0142613076998195,0.0379081050827523,0.0656194262703814,0.0101967838951232
14,0.0940272230760827,0.175323235500875,0.0127312106512903,0.0377433030413298,0.0663838360936116,0.00910276998904811
15,0.0931275386985052,0.172908562770241,0.0133465146267693,0.037506131082258,0.0654695520381515,0.00954271012636447
16,0.0932746931993704,0.173720670146403,0.0128287162523372,0.0374747659770982,0.0657770458098443,0.00917248614435215
17,0.0930048558927615,0.172463543692478,0.0135461680930455,0.0374932565297312,0.0653010514202365,0.00968546163922584
18,0.0935382314920767,0.173191609865852,0.0138848531183017,0.0377521721574295,0.0655767240963681,0.00992762021849102
19,0.0929484542833559,0.172500314320839,0.0133965942458729,0.0374467455046787,0.0653149741348112,0.0095785168745462
20,0.0939258849610803,0.174412655625728,0.0134391142964325,0.0378239877821305,0.0660390570059498,0.00960891855831125
21,0.0973335159449994,0.180074030300825,0.0145930015891734,0.0393083029337614,0.0681826620302496,0.0104339438372733
22,0.0965604334687962,0.179758688645762,0.0133621782918305,0.0388085858263993,0.0680632620620515,0.00955390959074716
23,0.0942234634046672,0.175734901131429,0.0127120256779049,0.0378143803347314,0.0665397078676294,0.00908905280183343
24,0.0926998911585319,0.173172863531547,0.0122269187855172,0.0371559145779415,0.0655696260435612,0.0087422031123218
25,0.0924641875970631,0.173077779917385,0.0118505952767407,0.0370033785182335,0.0655336238842371,0.00847313315222992
26,0.0912196706306414,0.17067398586006,0.0117653554012227,0.0365178229209984,0.0646234588952761,0.00841218694672064
27,0.0917086147856808,0.170118609021423,0.0132986205499385,0.0369608193982239,0.0644131727633727,0.00950846603307517
28,0.0918464950161372,0.171630220314714,0.0120627697175606,0.0368051808028647,0.0649855244887125,0.00862483711701686
29,0.0908832307984588,0.167808521259476,0.0139579403374412,0.0367591828741724,0.063538488430102,0.00997987731824285
30,0.0920556340422894,0.172766427071091,0.0113448410134881,0.0367636274462693,0.0654157342259918,0.00811152066654677
31,0.0916495102426017,0.171842486379821,0.0114565341053826,0.0366286385340387,0.0650658962411162,0.00819138082696114
32,0.0920362526902412,0.171743966602607,0.0123285387778754,0.036921727033268,0.065028593023868,0.0088148610426681
33,0.0922146330915872,0.172567007514947,0.0118622586682279,0.0369108495352534,0.0653402266351633,0.00848147243534354
34,0.0918286103125203,0.171060086762808,0.0125971338622328,0.0368882782434455,0.0647696509215092,0.00900690556538178
35,0.0916117833274665,0.170551770193773,0.0126717964611602,0.0368187362987369,0.0645771835414378,0.00906028905603605
36,0.0926950497713008,0.171940565525842,0.0134495340167592,0.0373597006200818,0.0651030326191614,0.00961636862100222
37,0.0914600624156145,0.17181508800116,0.0111050368300686,0.0364977918701927,0.0650555222055637,0.0079400615348217
38,0.0915485068254588,0.172247932536398,0.0108490811145196,0.0364882336043308,0.065219413093153,0.00775705411550854
39,0.092156941461438,0.173483034551236,0.0108308483716402,0.0367155429942034,0.0656870682187138,0.00774401776969301
40,0.0915631471721585,0.171974991164827,0.0111513031794901,0.0365446046216063,0.0651160674343658,0.00797314180884687
41,0.0923385192722349,0.173075583109805,0.0116014554346646,0.0369138955749885,0.0655327920919541,0.00829499905802289
42,0.0917078242034667,0.172269000291277,0.0111466481156559,0.0365986017881009,0.0652273901213133,0.00796981345488842
43,0.0926231755752923,0.172662128928312,0.0125842222222726,0.0371869584478709,0.0653762431066582,0.00899767378908349
44,0.0928412145464776,0.1725907279316,0.0130917011613555,0.0373548637353015,0.0653492080587987,0.00936051941180435
45,0.0922330529760686,0.17318040024016,0.0112857057119777,0.0368208594285012,0.0655724797191041,0.0080692391378983
46,0.0927121506504307,0.17383616936666,0.0115881319342015,0.0370531254363571,0.0658207780697731,0.00828547280294107
47,0.0922559331598044,0.173034458818328,0.0114774075012813,0.0368617630751755,0.0655172209201292,0.0082063052302218
48,0.0929000005541282,0.173649338354555,0.0121506627537018,0.0372188586441796,0.0657500369654959,0.00868768032286322
49,0.0924951596219381,0.173805581143586,0.0111847381002902,0.0369031219495007,0.0658091962416079,0.00799704765739353
50,0.0918382456421532,0.172236930754213,0.0114395605300932,0.0366972460972789,0.065215247413098,0.0081792447814598
