q,MAE_mean,MAE_1,MAE_2
2,0.125989343010253,0.186649563057931,0.0653291229625755
3,0.109598537536226,0.180986748118075,0.0382103269543762
4,0.103852694657813,0.172783309781393,0.0349220795342323
5,0.101271972351477,0.173575361011338,0.0289685836916163
6,0.095908141933203,0.174081516351791,0.017734767514615
7,0.0950314772620151,0.174231820315435,0.0158311342085952
8,0.0949670620049864,0.175586540935314,0.0143475830746584
9,0.0951351388834628,0.177283363552365,0.0129869142145606
10,0.0954501698581609,0.176080425662781,0.014819914053541
11,0.0939772072190755,0.173689687657571,0.0142647267805804
12,0.0923073564972653,0.171427989150402,0.0131867238441281
13,0.0940074151672445,0.17333812468624,0.0146767056482494
14,0.0943241597787647,0.175163882752366,0.0134844368051635
15,0.093153024392763,0.172929377494657,0.0133766712908691
16,0.0933631162278858,0.173708123787358,0.0130181086684133
17,0.0931598227762147,0.172770074568121,0.0135495709843087
18,0.0938480925666368,0.173909713924832,0.0137864712084416
19,0.0929530734996781,0.172507024792763,0.0133991222065935
20,0.0939565137293869,0.174476787349609,0.0134362401091649
21,0.0973927796329777,0.180267002525577,0.0145185567403788
22,0.0965699576097634,0.17976896502277,0.0133709501967571
23,0.0942974570666733,0.175841084980914,0.0127538291524324
24,0.0929672787907533,0.17358160784733,0.0123529497341767
25,0.0927927837446875,0.17362433287122,0.0119612346181546
26,0.0917223662204958,0.171567067618016,0.0118776648229753
27,0.0923521240861315,0.17295925034729,0.0117449978249726
28,0.0925808147523708,0.172817609539156,0.012344019965586
29,0.0925136751481722,0.171641259487489,0.0133860908088554
30,0.0926192308231807,0.173391498202467,0.0118469634438945
31,0.0922222375155899,0.172487637367176,0.0119568376640039
32,0.092467335981252,0.173161556257327,0.0117731157051767
33,0.0931004854508957,0.173529051881168,0.0126719190206229
34,0.0927275420354464,0.17332758384937,0.0121275002215229
35,0.0929666840751034,0.172715912615494,0.0132174555347125
36,0.0931763609025252,0.174684517451438,0.0116682043536121
37,0.0922812367832302,0.173043142003358,0.0115193315631025
38,0.0925557431212453,0.173805499686714,0.0113059865557765
39,0.0928074091415041,0.174147533747039,0.0114672845359691
40,0.0922788392447893,0.172979822039658,0.0115778564499205
41,0.0929100783253114,0.174027071073175,0.0117930855774482
42,0.0917179519156226,0.172283072672819,0.0111528311584263
43,0.0927837560171051,0.174244832297301,0.0113226797369093
44,0.093068585870264,0.173276358758435,0.0128608129820926
45,0.0925203129490658,0.173972480845218,0.0110681450529134
46,0.0927367748161945,0.173886569929014,0.0115869797033748
47,0.0923776343020326,0.173216217465011,0.0115390511390538
48,0.0931816356112512,0.174677974898481,0.0116852963240219
49,0.0925046560607836,0.173821933826287,0.0111873782952801
50,0.0918434205595558,0.172247688774375,0.0114391523447368
