T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
5,0.128704960312239,0.173017714520814,0.0843922061036639,0.0650586932646607,0.0641394067817755,0.065977979747546
10,0.140078963311512,0.185006528628361,0.0951513979946642,0.0714866581084031,0.0685837807408509,0.0743895354759554
15,0.126168361169481,0.234275627645089,0.0180610946938722,0.0504842639081027,0.086848331237068,0.0141201965791374
20,0.136363092546365,0.255728822661802,0.0169973624309277,0.0540449075740286,0.0948012463807956,0.0132885687672615
25,0.141561865207997,0.268584837892914,0.0145388925230802,0.0554668165266995,0.0995671005176666,0.0113665325357324
30,0.142925427739646,0.270990506500095,0.014860348979196,0.0560383769198549,0.100458906063737,0.0116178477759724
35,0.135970714638243,0.257849711739555,0.0140917175369297,0.0533022058060471,0.0955874812913293,0.0110169303207648
40,0.407191265436925,0.743261551000957,0.0711209798728935,0.165568521412577,0.275534531807544,0.0556025110176101
45,0.108624634803525,0.176233218038323,0.0410160515687277,0.0486989248790725,0.0653314262734729,0.0320664234846721
50,0.0995326710256044,0.187259664970273,0.0118056770809353,0.0393243703947654,0.069419041042196,0.00922969974733485
55,0.0900662346220938,0.170777259944898,0.00935520929928919,0.0353113836656012,0.0633088477386234,0.00731391959257905
60,0.0839116718196047,0.158446202497896,0.00937714114131371,0.0330343333390851,0.0587376007317306,0.00733106594643953
65,0.0811617830622045,0.152497364673443,0.0098262014509664,0.0321072244172617,0.0565323067237838,0.00768214211073956
70,0.0816777843981486,0.154642241341335,0.00871332745496264,0.0320697646390389,0.0573274340752211,0.00681209520285669
75,0.0818454439022357,0.155090618700477,0.00860026910399409,0.0321086790252927,0.0574936520715077,0.00672370597907776
80,0.0824945328616879,0.156398287528924,0.00859077819445131,0.0323473520129993,0.0579784180572099,0.00671628596878878
85,0.085392249230992,0.159016346575511,0.0117681518864726,0.0340746606787035,0.0589489588751418,0.00920036248226512
90,0.088799083419736,0.16556830850486,0.0120298583346125,0.0353914010561106,0.0613778370542873,0.00940496505793385
95,0.0931358200860942,0.174132121691893,0.0121395184802959,0.037021613143076,0.0645525287274926,0.00949069755865939
100,0.0863132646277481,0.163090196211944,0.00953633304355219,0.0339573491848047,0.0604591759053612,0.00745552246424832
105,0.0783315567276103,0.147932520220666,0.00873059323455425,0.0308328332989718,0.0548400729772967,0.00682559362064685
110,0.0747560185618083,0.140174742253093,0.00933729487052349,0.0296320503628945,0.0519641866661005,0.00729991405968848
115,0.0738390964828305,0.138379402007728,0.00929879095793282,0.0292842238063662,0.0512986359817207,0.00726981163101174
120,0.0732281221416662,0.137135225136726,0.00932101914660692,0.0290622983861956,0.0508374071031709,0.00728718966922018
