Ts,MAE_mean,MAE_1,MAE_2
0.005,0.086919374996606,0.157382411677437,0.0164563383157747
0.01,0.102324902769272,0.184766014082735,0.01988379145581
0.015,0.0989244425399061,0.182095867296696,0.0157530177831161
0.02,0.0997057977719625,0.184066504864019,0.0153450906799058
0.025,0.104773890593412,0.184693873101622,0.024853908085202
0.03,0.099927422472972,0.181270934253171,0.018583910692773
0.035,0.0998158785895525,0.181500939790133,0.0181308173889717
0.04,0.0996031321385097,0.182125757769108,0.017080506507911
0.045,0.105533226066235,0.196324070969989,0.014742381162481
0.05,0.0894241083865701,0.162392737670598,0.0164554791025421
NaN,NaN,NaN,NaN
