Ts,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
0.005,0.102050629981934,0.184896495372338,0.0192047645915308,0.0418699814141317,0.0700086249721261,0.0137313378561373
0.0075,0.113782615845381,0.199678762712219,0.0278864689785431,0.0477722306818566,0.0756057359847032,0.0199387253790099
0.01,0.0945262602386808,0.175037448363801,0.0140150721135602,0.0381481764440836,0.0662756265547505,0.0100207263334168
0.0125,0.118056243443395,0.210307600078879,0.025804886807911,0.0490403034893973,0.0796302053917288,0.0184504015870658
0.015,0.119473948812429,0.211715623425361,0.0272322741994971,0.0498171566803077,0.0801633349040938,0.0194709784565216
0.0175,0.116116890532071,0.210751232348271,0.0214825487158716,0.0475790631273647,0.0797981809129027,0.0153599453418266
0.02,0.0937002701051354,0.173041907323644,0.0143586328866266,0.0378932061267733,0.0655200411986543,0.0102663710548923
0.0225,0.117192562389886,0.208878322664903,0.0255068021148691,0.0486631502031061,0.0790890283063834,0.0182372720998288
0.025,0.116510812309983,0.209575719045888,0.0234459055740769,0.0480584133641441,0.079353088269202,0.0167637384590862
0.0275,0.0927537030518941,0.172486853557428,0.0130205525463606,0.0373097629004701,0.0653098773938719,0.00930964840706826
0.03,0.091395909746526,0.170930178209486,0.011861641283566,0.0366007468823733,0.0647204627572237,0.00848103100752289
0.03,0.0913995409760433,0.170934058594561,0.0118650233575252,0.0366026905961272,0.0647219320139714,0.0084834491782829
0.0325,0.0922284541749762,0.168602420008384,0.0158544883415685,0.0375874950444781,0.0638390877446872,0.0113359023442689
0.035,0.0921128313375394,0.170691401624419,0.0135342610506601,0.0371535006459374,0.0646300531452815,0.00967694814659322
0.0375,0.0920324978418838,0.171068649902488,0.0129963457812794,0.0370326169492287,0.0647728932416691,0.00929234065678838
0.04,0.0908496654892596,0.169908463117054,0.011790867861465,0.0363820160231475,0.0643336037819338,0.00843042826436131
0.04,0.0916020886499257,0.17159315609801,0.0116110212018415,0.0366366645790236,0.064971490610775,0.00830183854727219
0.0425,0.0901447014115286,0.169458386873581,0.0108310159494765,0.035953662961007,0.0641631883347685,0.00774413758724539
0.045,0.0905859982484066,0.16985263094063,0.0113193655561828,0.036202884734442,0.0643124636630106,0.00809330580587345
0.0475,0.0906839688778679,0.170406031526169,0.0109619062295668,0.0361798625905518,0.0645220015126834,0.00783772366842011
0.05,0.0921152206389993,0.171743086475557,0.0124873548024413,0.0369783368532016,0.0650282597753418,0.00892841393106147
0.0525,0.091337284516338,0.171659594936738,0.011014974095938,0.0364361569027492,0.0649966468028095,0.00787566700268876
0.055,0.0904408501946942,0.168519015064135,0.0123626853252537,0.0363233916308586,0.0638075075600494,0.00883927570166782
0.0575,0.0902314042328568,0.165585783092897,0.0148770253728171,0.0366669488481957,0.0626968778717088,0.0106370198246827
0.06,0.0914771691791029,0.168394329179286,0.01456000917892,0.0370853256363196,0.0637602968904575,0.0104103543821817
0.0625,0.0887028098005599,0.163927442816432,0.0134781767846874,0.0358529086225375,0.0620689691476553,0.00963684809741978
0.065,0.0895574058610997,0.165591134433883,0.0135236772883158,0.0361841424405019,0.0626989040865563,0.00966938079444755
0.0675,0.0913360474844327,0.173563834336636,0.00910826063222896,0.0361150178518636,0.065717661994234,0.00651237370949315
0.07,0.0927298591472364,0.176941067678756,0.00851865061571667,0.0365436058099629,0.0669964069591708,0.00609080466075494
0.08,0.0909472315032268,0.168271209854957,0.0136232531514965,0.0367271282790752,0.0637136793783927,0.00974057717975777
0.09,0.0928176070460663,0.172368964963893,0.0132662491282393,0.0373752805058834,0.0652652404291925,0.00948532058257425
0.1,0.0936113517406468,0.17559917648247,0.0116235269988239,0.0373995488312796,0.0664883175152633,0.00831078014729583
