Ts,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
0.005,0.086919374996606,0.157382411677437,0.0164563383157747,0.0341032234003447,0.0577887690554873,0.010417677745202
0.01,0.102324902769272,0.184766014082735,0.01988379145581,0.040215548092176,0.0678436707337663,0.0125874254505856
0.015,0.0989244425399061,0.182095867296696,0.0157530177831161,0.0384178343238159,0.0668632276568174,0.00997244099081435
0.02,0.0997057977719625,0.184066504864019,0.0153450906799058,0.0386505114942925,0.0675868200713465,0.00971420291723846
0.025,0.104773890593412,0.184693873101622,0.024853908085202,0.0417754685534456,0.0678171815063327,0.0157337556005585
0.03,0.099927422472972,0.181270934253171,0.018583910692773,0.0391624297529716,0.0665603230016504,0.0117645365042928
0.035,0.0998158785895525,0.181500939790133,0.0181308173889717,0.0390612420112278,0.0666447780351914,0.0114777059872642
0.04,0.0996031321385097,0.182125757769108,0.017080506507911,0.0388435050968223,0.0668742030484686,0.010812807145176
0.045,0.105533226066235,0.196324070969989,0.014742381162481,0.0407101482047599,0.0720876384876513,0.00933265792186856
0.05,0.0894241083865701,0.162392737670598,0.0164554791025421,0.0350228146191709,0.0596284954176993,0.0104171338206424
NaN,NaN,NaN,NaN,NaN,NaN,NaN
