Ts,MAE_mean,MAE_1,MAE_2
0.005,0.102050629981934,0.184896495372338,0.0192047645915308
0.0075,0.113782615845381,0.199678762712219,0.0278864689785431
0.01,0.0945262602386808,0.175037448363801,0.0140150721135602
0.0125,0.118056243443395,0.210307600078879,0.025804886807911
0.015,0.119473948812429,0.211715623425361,0.0272322741994971
0.0175,0.116116890532071,0.210751232348271,0.0214825487158716
0.02,0.0937002701051354,0.173041907323644,0.0143586328866266
0.0225,0.117192562389886,0.208878322664903,0.0255068021148691
0.025,0.116510812309983,0.209575719045888,0.0234459055740769
0.0275,0.0927537030518941,0.172486853557428,0.0130205525463606
0.03,0.091395909746526,0.170930178209486,0.011861641283566
0.03,0.0913995409760433,0.170934058594561,0.0118650233575252
0.0325,0.0922284541749762,0.168602420008384,0.0158544883415685
0.035,0.0921128313375394,0.170691401624419,0.0135342610506601
0.0375,0.0920324978418838,0.171068649902488,0.0129963457812794
0.04,0.0908496654892596,0.169908463117054,0.011790867861465
0.04,0.0916020886499257,0.17159315609801,0.0116110212018415
0.0425,0.0901447014115286,0.169458386873581,0.0108310159494765
0.045,0.0905859982484066,0.16985263094063,0.0113193655561828
0.0475,0.0906839688778679,0.170406031526169,0.0109619062295668
0.05,0.0921152206389993,0.171743086475557,0.0124873548024413
0.0525,0.091337284516338,0.171659594936738,0.011014974095938
0.055,0.0904408501946942,0.168519015064135,0.0123626853252537
0.0575,0.0902314042328568,0.165585783092897,0.0148770253728171
0.06,0.0914771691791029,0.168394329179286,0.01456000917892
0.0625,0.0887028098005599,0.163927442816432,0.0134781767846874
0.065,0.0895574058610997,0.165591134433883,0.0135236772883158
0.0675,0.0913360474844327,0.173563834336636,0.00910826063222896
0.07,0.0927298591472364,0.176941067678756,0.00851865061571667
0.08,0.0909472315032268,0.168271209854957,0.0136232531514965
0.09,0.0928176070460663,0.172368964963893,0.0132662491282393
0.1,0.0936113517406468,0.17559917648247,0.0116235269988239
