T_train,MAE_mean,MAE_1,MAE_2
5,0.118342679949151,0.176327601396668,0.0603577585016339
10,0.106121888731908,0.180955084638851,0.0312886928249643
15,0.0919292772373766,0.171788507770733,0.0120700467040206
20,0.0920811420989891,0.17397684823475,0.0101854359632279
25,0.095328046565499,0.179549144540952,0.0111069485900463
30,0.096806226329753,0.183537757857018,0.0100746948024878
35,0.0954139036925316,0.1809637691259,0.00986403825916349
40,0.0949167217753886,0.179825739388683,0.0100077041620942
45,0.0960719836044123,0.178743437815365,0.01340052939346
50,0.0935367010050246,0.175260818513893,0.0118125834961561
55,0.0913592895807755,0.170924689321907,0.0117938898396443
60,0.0912196706306414,0.17067398586006,0.0117653554012227
65,0.0916377237713624,0.16805542345426,0.015220024088465
70,0.0912937432058392,0.168634268335684,0.0139532180759943
75,0.0915134325354732,0.169159201428807,0.0138676636421396
80,0.0918493928345631,0.170049066941017,0.0136497187281094
85,0.0918266733520055,0.170046737259325,0.0136066094446856
90,0.092127343143246,0.172892913643104,0.0113617726433882
95,0.0919940861428139,0.17273720617632,0.0112509661093073
100,0.0931318461663392,0.172160487234789,0.0141032050978898
105,0.0923608551030495,0.17133588430897,0.0133858258971289
110,0.0915546382642944,0.169750121345488,0.0133591551831008
115,0.0916662799676478,0.170272262179351,0.0130602977559443
120,0.091316292760036,0.169579593534364,0.0130529919857076
