index,S
1,333.6405861039
2,25.4084026250905
3,12.71074313907
4,9.90293515664442
5,9.60341069661735
6,3.84782297411352
7,1.80004352439589
8,1.08453234915651
9,0.714576420241507
10,0.466385630048479
11,0.294954633225055
12,0.189130079437289
13,0.182034650460059
