T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
5,0.15342377634399,0.25166511476706,0.0551824379209193,0.0626445243303008,0.0938171055573026,0.031471943103299
10,0.107352037103827,0.190876470805374,0.0238276034022795,0.0423727333715694,0.0711559805439393,0.0135894861991994
15,0.0860272564648603,0.163575006233072,0.00847950669664879,0.0329072340190962,0.0609783904317007,0.00483607760649165
20,0.0840087868242518,0.160566475843117,0.00745109780538624,0.0320532019374256,0.0598568539270166,0.00424954994783465
25,0.0834620964042381,0.159420091345398,0.00750410146307872,0.0318546388432848,0.0594294984092235,0.00427977927734624
30,0.0851824206035235,0.163294467225537,0.00707037398150965,0.0324531115290711,0.0608738095576006,0.00403241350054166
35,0.084892779525427,0.162732603451947,0.00705295559890729,0.0323434171227212,0.0606643548900178,0.00402247935542472
40,0.0843957006597622,0.161611933352274,0.00717946796725041,0.032170608946429,0.0602465853269488,0.00409463256590926
45,0.0903093226504176,0.168340704344052,0.0122779409567833,0.0348786972652563,0.0627549735832666,0.00700242094724601
50,0.089633024231028,0.169981443585907,0.00928460487614897,0.0343309314435731,0.0633666173813655,0.00529524550578074
55,0.0908528367165626,0.172422636976405,0.00928303645672039,0.0347855049378258,0.0642766588792271,0.00529435099642453
60,0.090855553916294,0.168706511622453,0.0130045962101353,0.0351540960448597,0.0628913412323273,0.00741685085739208
65,0.0929670036022655,0.176639144713708,0.00929486249082267,0.0355748037531835,0.0658485118229293,0.00530109568343778
70,0.0921014958067539,0.173567783972029,0.0106352076414793,0.0353845407859645,0.0647035530741835,0.00606552849774548
75,0.092033385628188,0.171742413236896,0.0123243580194805,0.0355259875536421,0.0640230813326086,0.00702889377467568
80,0.0917822011618862,0.17381146967857,0.00975293264520193,0.0351783701378195,0.0647943955720582,0.00556234470358081
85,0.0908840686232239,0.172201723615885,0.00956641363056259,0.0348251368817078,0.0641943055817425,0.00545596818167315
90,0.0905985801453154,0.171472084173885,0.00972507611674569,0.034734381998539,0.0639223065777794,0.00554645741929869
95,0.0901398496608435,0.170442345633142,0.00983735368854522,0.0345744635729172,0.0635384349813417,0.00561049216449271
100,0.0923110351574293,0.175105788226944,0.00951628208791438,0.035352137825508,0.0652768987588426,0.00542737689217329
105,0.0917337238286509,0.173337414934034,0.0101300327232679,0.0351975446370152,0.0646176748372466,0.00577741443678378
110,0.0920839444522029,0.17444071830433,0.00972717060007604,0.0352883111458299,0.0650289703354272,0.00554765195623267
115,0.0932083982326219,0.175063090979185,0.0113537054860585,0.0358681439374489,0.0652609818440023,0.00647530603089552
120,0.0932040062906052,0.175118581660159,0.0112894309210517,0.0358601582912426,0.0652816679652361,0.00643864861724913
