T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
5,0.118342679949151,0.176327601396668,0.0603577585016339,0.0549598535199973,0.0667641260238873,0.0431555810161073
10,0.106121888731908,0.180955084638851,0.0312886928249643,0.0454437824489866,0.0685162616617986,0.0223713032361745
15,0.0919292772373766,0.171788507770733,0.0120700467040206,0.0368377490436652,0.0650454579510743,0.0086300401362562
20,0.0920811420989891,0.17397684823475,0.0101854359632279,0.0365782972413776,0.065874044272022,0.00728255021073315
25,0.095328046565499,0.179549144540952,0.0111069485900463,0.0379626746902255,0.0679839209440967,0.00794142843635431
30,0.096806226329753,0.183537757857018,0.0100746948024878,0.0383487637844374,0.0694941568911922,0.0072033706776826
35,0.0954139036925316,0.1809637691259,0.00986403825916349,0.0377861509663541,0.068519549928543,0.0070527520041651
40,0.0949167217753886,0.179825739388683,0.0100077041620942,0.0376220612767208,0.0680886499435568,0.00715547260988492
45,0.0960719836044123,0.178743437815365,0.01340052939346,0.0386300905927439,0.0676788506945198,0.00958133049096803
50,0.0935367010050246,0.175260818513893,0.0118125834961561,0.0374030787940792,0.0663602027228183,0.00844595486534008
55,0.0913592895807755,0.170924689321907,0.0117938898396443,0.0365754867150489,0.0647183844621686,0.00843258896792922
60,0.0912196706306414,0.17067398586006,0.0117653554012227,0.0365178229209984,0.0646234588952761,0.00841218694672064
65,0.0916377237713624,0.16805542345426,0.015220024088465,0.0372571186871796,0.0636319746972409,0.0108822626771184
70,0.0912937432058392,0.168634268335684,0.0139532180759943,0.0369138238064842,0.0638511466947363,0.00997650091823214
75,0.0915134325354732,0.169159201428807,0.0138676636421396,0.0369826177538204,0.0640499057030014,0.00991532980463945
80,0.0918493928345631,0.170049066941017,0.0136497187281094,0.0370731707709495,0.0643868415697115,0.0097594999721876
85,0.0918266733520055,0.170046737259325,0.0136066094446856,0.0370573182277154,0.0643859594663944,0.00972867698903637
90,0.092127343143246,0.172892913643104,0.0113617726433882,0.0367936267116643,0.0654636267020835,0.00812362672124508
95,0.0919940861428139,0.17273720617632,0.0112509661093073,0.0367245352825932,0.0654046701186962,0.00804440044649015
100,0.0931318461663392,0.172160487234789,0.0141032050978898,0.0376350220908623,0.0651863030803667,0.0100837411013579
105,0.0923608551030495,0.17133588430897,0.0133858258971289,0.037222447788504,0.0648740780332216,0.00957081754378628
110,0.0915546382642944,0.169750121345488,0.0133591551831008,0.0369126989162723,0.0642736497537049,0.00955174807883976
115,0.0916662799676478,0.170272262179351,0.0130602977559443,0.0369047087996119,0.0644713515097437,0.00933806608948013
120,0.091316292760036,0.169579593534364,0.0130529919857076,0.0367709620659468,0.0642090816419499,0.0093328424899436
