T_train,MAE_mean,MAE_1,MAE_2,NMAE_mean,NMAE_1,NMAE_2
5,0.130686583873745,0.202102032487742,0.0592711352597475,0.0545722690000651,0.0753407071647485,0.0338038308353817
10,0.0986302589981487,0.183399394726917,0.0138611232693802,0.038136992476196,0.0683686350019802,0.0079053499504119
15,0.086054428872533,0.163530611148195,0.00857824659687141,0.0329271160311182,0.060961840587802,0.00489239147443429
20,0.0839678918425987,0.160431406774301,0.0075043769108965,0.0320432192544636,0.0598065021367085,0.00427993637221874
25,0.0833858419578463,0.15935848078761,0.0074132031280824,0.0318172342697364,0.0594065308866537,0.0042279376528191
30,0.0843968559708841,0.160187012223738,0.00860669971803015,0.0323120072013589,0.0597153953920608,0.004908619010657
35,0.0842770830964603,0.159955341701386,0.00859882449153446,0.032266579774997,0.0596290319806276,0.00490412756936633
40,0.0842234838964332,0.159874134921594,0.00857283287127276,0.0322440315800727,0.0595987592706465,0.00488930388949899
45,0.0908085204275222,0.169095576665906,0.0125214641891382,0.0350888437292031,0.063036379038954,0.00714130841945208
50,0.0903785501630768,0.171413520689529,0.00934357963662423,0.0346146776332828,0.0639004749600015,0.00532888030656406
55,0.0914017944339783,0.173305708871961,0.00949787999599526,0.0350113684948761,0.0646058552770542,0.00541688171269807
60,0.0924104810259067,0.175604906782625,0.00921605526918836,0.0353595564231802,0.0654629629190154,0.0052561499273449
65,0.0936974840446065,0.177855459363419,0.00953950872579428,0.0358712799599382,0.0663019362873746,0.00544062363250188
70,0.0923834911693058,0.174908741912593,0.0098582404260183,0.0354129235751987,0.0652034427500897,0.00562240440030782
75,0.0926192579521293,0.176211891270258,0.00902662463400111,0.0354186753844817,0.0656892379345281,0.00514811283443541
80,0.092326393396363,0.175520060805283,0.00913272598744254,0.0353199793473516,0.0654313335689572,0.00520862512574586
85,0.0914914109323306,0.173900629018434,0.00908219284622688,0.0350037188377614,0.0648276328811194,0.00517980479440332
90,0.0912001907635851,0.173238585404942,0.00916179612222869,0.0349030185911712,0.0645808326218621,0.00522520456048026
95,0.0906932592584331,0.172172558869946,0.00921395964692042,0.0347191940641004,0.0641834333873549,0.00525495474084595
100,0.0928860847501261,0.176895326767487,0.00887684273276469,0.035503350598681,0.0659440127778531,0.00506268841950883
105,0.0932848566379155,0.176549212824382,0.010020500451449,0.0357649659621935,0.0658149865186308,0.0057149454057562
110,0.093393314528412,0.177228061272667,0.00955856778415696,0.0357597724366079,0.0660680513766232,0.00545149349659256
115,0.0940408083734009,0.171660009119314,0.0164216076274875,0.036679010677557,0.0639923622724611,0.00936565908265289
120,0.0940312851588919,0.171716189161395,0.0163463811563889,0.0366680304484373,0.0640133053775196,0.0093227555193549
