f,P1
0.22002200220022,0.00231214657556304
0.23002300230023,0.00225423093475673
0.24002400240024,0.00220370461618916
0.25002500250025,0.00216246982377252
0.26002600260026,0.00213099363425978
0.27002700270027,0.00210779578127913
0.28002800280028,0.00208968820966834
0.29002900290029,0.00207281919332047
0.3000300030003,0.00205420551430643
0.31003100310031,0.0020332301208328
0.32003200320032,0.00201256180717211
0.33003300330033,0.00199802189870921
0.34003400340034,0.0019970874253724
0.35003500350035,0.00201616988272666
0.36003600360036,0.00205761348295905
0.37003700370037,0.00211796390759158
0.38003800380038,0.00218860306521794
0.39003900390039,0.00225850268158549
0.4000400040004,0.00231792046842947
0.41004100410041,0.00236196854177387
0.42004200420042,0.00239345861325826
0.43004300430043,0.00242447602072707
0.44004400440044,0.00247559909057414
0.45004500450045,0.00257128143833234
0.46004600460046,0.00273136028194614
0.47004700470047,0.00296244365565737
0.48004800480048,0.00325470314955054
0.49004900490049,0.00358535336397228
0.5000500050005,0.00392503343583114
0.51005100510051,0.00424333566479921
0.52005200520052,0.00451240319606835
0.53005300530053,0.00470905655905008
0.54005400540054,0.00481605915350517
0.55005500550055,0.00482286229565247
0.56005600560056,0.00472595859807822
0.57005700570057,0.00452888097645945
0.58005800580058,0.00424186842602418
0.59005900590059,0.00388123812724783
0.6000600060006,0.00346853154587223
0.61006100610061,0.00302951672292949
0.62006200620062,0.00259307920014808
0.63006300630063,0.00218978365802192
0.64006400640064,0.00184917993470959
0.65006500650065,0.00159389102988181
0.66006600660066,0.00142977084119374
0.67006700670067,0.00133902868845839
0.680068006800679,0.00128734390070084
0.69006900690069,0.00124072683125948
0.7000700070007,0.0011769406445229
0.710071007100709,0.0010874963412095
0.72007200720072,0.000975289735284263
0.730073007300729,0.000851758167673193
0.740074007400739,0.000734412310700412
0.75007500750075,0.000643295495447625
0.760076007600759,0.000593171637497043
0.770077007700769,0.000582913800703344
0.78007800780078,0.000594874476796295
0.790079007900789,0.000607331822048448
0.800080008000799,0.000604730048202727
0.810081008100809,0.000579882166543261
0.820082008200819,0.000532747767668532
0.830083008300829,0.000469042323878978
0.840084008400839,0.000399490373200518
0.850085008500849,0.00033932017161214
0.860086008600859,0.000305055699142726
0.870087008700869,0.000303831359118027
0.880088008800879,0.00032505899734826
0.890089008900889,0.00035040843052084
0.900090009000899,0.000366041161928294
0.910091009100909,0.000365001000590376
0.920092009200919,0.000345799737866758
0.930093009300929,0.000311163992501149
0.940094009400939,0.00026750236344733
0.950095009500949,0.000224950201758738
0.960096009600959,0.000196630705568591
0.970097009700969,0.000192293632292326
0.980098009800979,0.000208041179945542
0.990099009900989,0.00023015954035689
1.000100010001,0.000246836647459796
