T_train,MAE_mean,MAE_1,MAE_2
10,0.0838351365505117,0.112029968475958,0.055640304625065
20,0.0824198670779709,0.107991867858371,0.0568478662975706
30,0.080703805860906,0.106084769662264,0.055322842059548
40,0.0736846672694716,0.0980476355445054,0.0493216989944377
50,0.0723211384159146,0.0961583523616342,0.0484839244701951
60,0.0728509421492626,0.0893054244644332,0.056396459834092
70,0.0718529405741537,0.0894048214027203,0.0543010597455872
80,0.0718790862939067,0.0895973577919634,0.0541608147958501
90,0.0723277912142883,0.0897145785236875,0.0549410039048891
100,0.0726333225384692,0.0896380836162488,0.0556285614606896
110,0.0725907342886937,0.0896848934644691,0.0554965751129184
120,0.072535060166066,0.0897949142203944,0.0552752061117375
130,0.0737371003818109,0.0902226644183954,0.0572515363452264
140,0.0736403147144098,0.0902691870557353,0.0570114423730843
150,0.0730337215624604,0.0894098692666196,0.0566575738583012
160,0.0733945623378617,0.0904164206636902,0.0563727040120331
170,0.0749085396824075,0.0927809929416333,0.0570360864231817
180,0.0756765051644515,0.0925354234459852,0.0588175868829178
190,0.0750430181503718,0.0908329046640942,0.0592531316366494
200,0.0750325736247371,0.0904061894039472,0.059658957845527
210,0.0750752045990692,0.0911660416368739,0.0589843675612646
220,0.0753010670884144,0.0908237684037998,0.0597783657730291
230,0.0750611738232094,0.0906187520306017,0.059503595615817
240,0.0752841584456248,0.0906999656478665,0.0598683512433832
250,0.0759027328499293,0.0910418147497755,0.0607636509500831
