T_train,MAE_mean,MAE_1,MAE_2
10,0.0715771652155623,0.0922541693565683,0.0509001610745563
20,0.0717987771963034,0.0928568462642808,0.050740708128326
30,0.0711486866835764,0.092744851754072,0.0495525216130808
40,0.0698614688257433,0.0892538253857678,0.0504691122657188
50,0.069926826942832,0.0890471505051194,0.0508065033805446
60,0.0705678708388784,0.0895350841024904,0.0516006575752664
70,0.0685639563994239,0.0835048767750395,0.0536230360238083
80,0.0683858749982977,0.0836756030956346,0.0530961469009609
90,0.0689824180001997,0.0838250131169068,0.0541398228834925
100,0.0686690982854753,0.0841010027462422,0.0532371938247084
110,0.0686935660848996,0.0842246086335406,0.0531625235362586
120,0.0687110518569288,0.0842281174894682,0.0531939862243895
130,0.0694726099066298,0.0847359263502502,0.0542092934630095
140,0.0694740718197068,0.0847493046100859,0.0541988390293277
150,0.0687447593886472,0.0844397343485262,0.0530497844287683
160,0.0686852659752092,0.0845100646468368,0.0528604673035817
170,0.0702079293595171,0.084914371491066,0.0555014872279681
180,0.0710326534630634,0.0853917324275714,0.0566735744985555
190,0.0710538386742298,0.088997501212122,0.0531101761363375
200,0.0713433395044862,0.0892261912436456,0.0534604877653268
210,0.0719477346650845,0.0894412142195029,0.0544542551106661
220,0.070670206519544,0.0852695739910186,0.0560708390480695
230,0.0705210167406545,0.0891841706518903,0.0518578628294187
240,0.0707429818674569,0.0893676794981306,0.0521182842367832
250,0.071442953594775,0.0899182543255779,0.0529676528639721
