time,vel_sp,vel,theta,acc_sp
8.52,2,2.11000791114773,0.330542597457913,0.170440791567628
8.54,2,2.10902612857483,0.33860539020708,0.170357631587225
8.56,2,2.1080533595698,0.346150156821084,0.169856904410515
8.58,2,2.1070860013075,0.353161566563603,0.169332300246627
8.6,2,2.10612541713397,0.359625578947939,0.169268856048346
8.62,2,2.10516748744716,0.365529890248869,0.1687317402029
8.64,2,2.10421363381379,0.370864035480703,0.16813642899683
8.66,2,2.10326017914854,0.375618795928522,0.168143337369399
8.68,2,2.10230793557663,0.379787176536284,0.167543122899837
8.7,2,2.10135469083561,0.383363002726935,0.166959215926165
8.72,2,2.10040105444181,0.38634218560521,0.166953937582452
8.74,2,2.09944519335898,0.388721264129326,0.16636906972131
8.76,2,2.09848557595672,0.390499481521145,0.165765725462505
8.78,2,2.09752207823138,0.391676780169231,0.165817115397844
8.8,2,2.09655310580675,0.392255295940613,0.165229032280843
8.82,2,2.09557973308667,0.392237690086982,0.164651621789211
8.84,2,2.09459878670149,0.391628743880809,0.164723540344006
8.86,2,2.09361222605566,0.390434181965191,0.164163340352431
8.88,2,2.09261713168871,0.388661212588785,0.16364290684139
8.9,2,2.09161541058068,0.386318139499892,0.163711706278699
8.92,2,2.09060333493154,0.383414735753276,0.163236069291636
8.94,2,2.08958301902992,0.379962355467871,0.162758516134653
8.96,2,2.08855222930542,0.375972955426265,0.162870715074848
8.98,2,2.0875127633014,0.371459987361364,0.162428457242623
9,2,2.08646318865862,0.366437134060059,0.162055076719979
9.02,2,2.08540480653553,0.360919619172632,0.162131470157179
9.04,2,2.08433701438373,0.35492258172592,0.161795347267708
9.06,2,2.08325903709869,0.34846311841083,0.16148881434956
9.08,2,2.08217135852477,0.341558412615766,0.161597584732966
9.1,2,2.08107264709293,0.334227332222542,0.161350620358885
9.12,2,2.07996487217083,0.326488665351699,0.161154749418661
9.14,2,2.078845804019,0.318362437927938,0.161261972271878
9.16,2,2.07771815498008,0.309868847172721,0.161114653316478
9.18,2,2.07657985786798,0.30102875011001,0.16104247945349
9.2,2,2.07543391715067,0.291863217391545,0.161117825812524
9.22,2,2.07427807745109,0.282393638655332,0.161102573313386
9.24,2,2.07311494039265,0.272641959464499,0.161119102894496
9.26,2,2.07194251517506,0.262630199838171,0.161215947843071
9.28,2,2.07076356864272,0.252380923912412,0.161286603459873
9.3,2,2.06957659649538,0.241916301859445,0.161453473305019
9.32,2,2.06838359454799,0.231259276726653,0.161502764696561
9.34,2,2.06718358717625,0.220432167689203,0.161728833822623
9.36,2,2.06597764472165,0.209458264805379,0.161988786478549
9.38,2,2.06476644966393,0.198359837669401,0.162052933085102
9.4,2,2.06354953948729,0.187160080995033,0.162380318836896
9.42,2,2.06232906755649,0.175881171110932,0.162773522696593
9.44,2,2.06110436354401,0.164545621198747,0.162805076817809
9.46,2,2.05987824378353,0.15317493206199,0.163241419108154
9.48,2,2.05864878479195,0.141790799739663,0.163752918373462
9.5,2,2.05741923101543,0.130414331456969,0.163753497337592
9.52,2,2.05618792200185,0.119066288471633,0.16431502192693
9.54,2,2.05495843693575,0.107766873760768,0.164899796263479
9.56,2,2.05372861775834,0.0965355857142379,0.164908746317458
9.58,2,2.05250113848426,0.0853920571949497,0.165544255708227
9.6,2,2.05127477003893,0.0743548131894491,0.166269333629061
9.62,2,2.05005137018442,0.0634426646538959,0.166226989214858
9.64,2,2.04883089151372,0.0526730039869323,0.166990481556544
9.66,2,2.04761479879352,0.0420633175869606,0.167770655088005
9.68,2,2.04640434001677,0.0316292877834478,0.167724541603396
9.7,2,2.04519922340135,0.0213868170627181,0.168546311528299
9.72,2,2.0440018450785,0.0113501954941133,0.169409263442952
9.74,2,2.04281139220152,0.00153350370347016,0.169330860185249
9.76,2,2.04163039852329,-0.00805046234741925,0.170216764473219
9.78,2,2.04045696076605,-0.0173892017028213,0.171154669501622
9.8,2,2.03929443335888,-0.0264711506391828,0.171041935824341
9.82,2,2.0381413023754,-0.0352857604528832,0.172000875202878
9.84,2,2.0370004370844,-0.0438231017219514,0.172955050438013
9.86,2,2.03587026904258,-0.0520744244679495,0.17285624136126
9.88,2,2.03475222507218,-0.0600309587562119,0.17383637511515
9.9,2,2.03364655773403,-0.0676855687622894,0.174858523195921
9.92,2,2.03255440190662,-0.0750313009041011,0.174711026632984
9.94,2,2.03147611503393,-0.08206281184085,0.175741398877056
9.96,2,2.03041156478554,-0.0887746581406436,0.176768082691236
9.98,2,2.02936292006587,-0.0951631997881765,0.176617211568836
10,2,2.02832851789227,-0.10122488964537,0.177655890557713
10.02,2,2.02731083053066,-0.106957439459907,0.178691678568958
10.04,2,2.02630814279614,-0.112358985079569,0.178537306272199
10.06,2,2.02532350611263,-0.117428802808743,0.179560528546845
10.08,2,2.02435442989391,-0.122166979375775,0.180616141709941
10.1,2,2.02340353225939,-0.126573905060925,0.1804272396565
10.12,2,2.02246966754155,-0.130651244844361,0.181466546924944
10.14,2,2.02155504613798,-0.134401144226969,0.182466010554695
10.16,2,2.02065822073839,-0.137827005334252,0.18229795554851
10.18,2,2.01978013184857,-0.140932083448488,0.183289542563578
10.2,2,2.01892117438782,-0.14372121841265,0.184284659781188
10.22,2,2.01808148599316,-0.146199249994564,0.18408194503422
10.24,2,2.01726124969185,-0.148372199695164,0.185057222409337
10.26,2,2.01645938704494,-0.150245847819835,0.186009783030073
10.28,2,2.01567750709703,-0.151827212468574,0.185815936043827
10.3,2,2.0149134145468,-0.153123247173113,0.186755419797934
10.32,2,2.01416923013099,-0.154141627962951,0.18765873527298
10.34,2,2.01344315990348,-0.15489032834425,0.187474210496826
10.36,2,2.0127378075355,-0.155378163508477,0.188339814444709
10.38,2,2.01205044773601,-0.155614463867362,0.18920891161932
10.4,2,2.01138347301578,-0.155608616457535,0.188998835108245
10.42,2,2.01073508888239,-0.155370938249264,0.189832240998542
10.44,2,2.01010693523653,-0.154911628559159,0.190601903462977
10.46,2,2.00949719486835,-0.154241749895349,0.190429049728397
10.48,2,2.0089062759023,-0.153371741460872,0.191174490604626
10.5,2,2.00833419798444,-0.152313185266927,0.191904536459447
10.52,2,2.00778012618342,-0.151077077046246,0.191715733763033
10.54,2,2.00724438139809,-0.149675211034701,0.192412435450351
10.56,2,2.00672550886306,-0.148118782340945,0.193068571800082
10.58,2,2.00622505271639,-0.146419851005071,0.192891879804871
10.6,2,2.00574041076145,-0.144590010660158,0.193522983321313
10.62,2,2.00527340048953,-0.142641134040098,0.194104541640296
10.64,2,2.00482150266856,-0.140584829461356,0.193951316798898
10.66,2,2.00438713549256,-0.138433033784613,0.194490932541509
10.68,2,2.00396714355811,-0.136197752444663,0.195026282179955
10.7,2,2.00356370349111,-0.133890566132755,0.194855126161368
10.72,2,2.00317421749453,-0.131523421843314,0.195357345039115
