time,vel_sp,vel,theta,acc_sp
0,0,0,-1,0
0.02,0,-0.00116299738740164,-0.998861024451161,0.0064674936646033
0.04,0,-0.00245875157512895,-0.99531840839595,0.0064832221717748
0.06,0,-0.00374754867529325,-0.989368560760953,0.00643313446723196
0.08,0,-0.00500939212999,-0.981023331017539,0.00627841313891567
0.1,0,-0.00622170467450496,-0.970309860069844,0.00601465528712969
0.12,0,-0.00736671425580352,-0.95727003381866,0.00567331376792459
0.14,0,-0.008435151436598,-0.941956949749178,0.00530116724675371
0.16,0,-0.00942482408836526,-0.924430351398122,0.00492153165932222
0.18,0,-0.0103366713959754,-0.904754716307552,0.00456018177138702
0.2,0,-0.0111776894890781,-0.882995928508615,0.00423152208242808
0.22,0,-0.0119515648261801,-0.859221283274274,0.00392827804239703
0.24,0,-0.0126675322866712,-0.833498228280632,0.00367105272742697
0.26,0,-0.0133286965541408,-0.805894536864027,0.00342706414594157
0.28,0,-0.0139414414497049,-0.776479328981635,0.00321986135062843
0.3,0,-0.0145080190525669,-0.745322557765509,0.00301769150304109
0.32,0,-0.0150319859081276,-0.712496323762525,0.00283990954585321
0.34,0,-0.0155125030028533,-0.678074606118123,0.00264685681283698
0.36,0,-0.0159494131834842,-0.642135385010787,0.00246505389911517
0.38,0,-0.0163417222237834,-0.604759035781377,0.00226596892729526
0.4,0,-0.0166865951499322,-0.566030447691196,0.0020650352954856
0.42,0,-0.0169841413477311,-0.526037114931136,0.00185547761173289
0.44,0,-0.0172307605174029,-0.484870460527057,0.00163644854483501
0.46,0,-0.0174271477070259,-0.44262452602007,0.00141553056317474
0.48,0,-0.0175698083532284,-0.399396566397738,0.00118239995805047
0.5,0,-0.0176604118540329,-0.355286064785162,0.000955540550563502
0.52,0,-0.0176952901868276,-0.310394902235495,0.000710262216466911
0.54,0,-0.0176763193877712,-0.264827208377566,0.000478187037733393
0.56,0,-0.0176014072258871,-0.218688393366333,0.00023099982427994
0.58,0,-0.0174724328800479,-0.172085598380052,-8.94452797945821e-08
0.6,0,-0.0172887566528429,-0.125126287631782,-0.00024205043382901
0.62,0,-0.0170512029890553,-0.0779193167853302,-0.000472723186840741
0.64,0,-0.0167604440811459,-0.0305734612140944,-0.000706942267354299
0.66,0,-0.0164173143703416,0.0168019099114439,-0.000931167766021297
0.68,0,-0.0160229748209221,0.0640979700095104,-0.00115644257641615
0.7,0,-0.015578132761138,0.11120578059628,-0.00137249870121965
0.72,0,-0.0150852331957934,0.158017588319167,-0.00158218954641436
0.74,0,-0.0145447401265609,0.204426289618919,-0.00178644812711109
0.76,0,-0.0139600042924427,0.250326343815673,-0.00197707199848379
0.78,0,-0.0133311164724908,0.295613612366257,-0.0021687495224111
0.8,0,-0.0126612246099206,0.340185468354429,-0.00234371434055893
0.82,0,-0.0119509235191556,0.383941369546749,-0.00252063584252725
0.84,0,-0.0112032379570783,0.426782527717683,-0.00267843479783442
0.86,0,-0.010419709561445,0.468613016173015,-0.00283624187120852
0.88,0,-0.00960245791268375,0.509338935100862,-0.00297928647886819
0.9,0,-0.00875306591162505,0.548869372701468,-0.00312197593067276
0.92,0,-0.00787335715511975,0.587115698913199,-0.00325092309584589
0.94,0,-0.00696596628476518,0.623992792831405,-0.00337418667656699
0.96,0,-0.00603200270125354,0.659418292713561,-0.00348878808606536
0.98,0,-0.00507484540406183,0.693313541990248,-0.00359169129965023
1,0,-0.00409508504575799,0.725603210654888,-0.00369285034047642
1.02,0,-0.00309597735872167,0.756215506366812,-0.00377731927965748
1.04,0,-0.00208049774350077,0.78508307594931,-0.00385039604583953
1.06,0,-0.00105097726641119,0.812142698408093,-0.0039141515504589
1.08,0,-9.65509325497474e-06,0.837335271281369,-0.00396876426220537
1.1,0,0.00104151053719375,0.860605668405518,-0.00401595957297548
1.12,2,0.00209987876343196,0.881902986744414,-0.00205116821356679
1.14,2,0.00401911981808582,0.90107081393519,-0.00578273683067051
1.16,2,0.0113776306132797,0.916529510155938,-0.0342172240374383
1.18,2,0.0248213517126404,0.925127585657083,-0.0593962147883569
