time,vel_sp,vel,theta,acc_sp,acc
0,0,0,-1,-5.54233673656425e-05,0
0.02,0,-0.00116299738740164,-0.998861024451161,-5.54233673656425e-05,-0.0647439611973223
0.04,0,-0.00245875157512895,-0.99531840839595,-9.3395711115347e-05,-0.0647374248663298
0.06,0,-0.00374754867529325,-0.989368560760953,2.13326485047383e-05,-0.0638845307687784
0.08,0,-0.00500939212999,-0.981023331017539,2.13326485047383e-05,-0.0619059452571451
0.1,0,-0.00622170467450496,-0.970309860069844,0.000437303994686692,-0.058881619920218
0.12,0,-0.00736671425580352,-0.95727003381866,0.00128131875985587,-0.0551702738588227
0.14,0,-0.008435151436598,-0.941956949749178,0.00128131875985587,-0.0512801455033841
0.16,0,-0.00942482408836526,-0.924430351398122,0.00263670346976018,-0.047280719962091
0.18,0,-0.0103366713959754,-0.904754716307552,0.00453386034324783,-0.0436203298656823
0.2,0,-0.0111776894890781,-0.882995928508615,0.00453386034324783,-0.0401336072594002
0.22,0,-0.0119515648261801,-0.859221283274274,0.00695089302033817,-0.0370507780181717
0.24,0,-0.0126675322866712,-0.833498228280632,0.00982115177714113,-0.0342601719037091
0.26,0,-0.0133286965541408,-0.805894536864027,0.00982115177714113,-0.0316742049140389
0.28,0,-0.0139414414497049,-0.776479328981635,0.0130447681242376,-0.0293655490483977
0.3,0,-0.0145080190525669,-0.745322557765509,0.0165017827077073,-0.027114454049324
0.32,0,-0.0150319859081276,-0.712496323762525,0.0165017827077073,-0.0250475963228324
0.34,0,-0.0155125030028533,-0.678074606118123,0.0200648485388303,-0.0227877479263058
0.36,0,-0.0159494131834842,-0.642135385010787,0.0236099930738889,-0.0206788552844511
0.38,0,-0.0163417222237834,-0.604759035781377,0.0236099930738889,-0.0182809087924945
0.4,0,-0.0166865951499322,-0.566030447691196,0.0270249774825047,-0.0159905527065218
0.42,0,-0.0169841413477311,-0.526037114931136,0.0302149686182983,-0.0134593636582609
0.44,0,-0.0172307605174029,-0.484870460527057,0.0302149686182983,-0.0109827962523159
0.46,0,-0.0174271477070259,-0.44262452602007,0.0331055793179265,-0.00833144512130609
0.48,0,-0.0175698083532284,-0.399396566397738,0.0356437228737022,-0.00571637981705845
0.5,0,-0.0176604118540329,-0.355286064785162,0.0356437228737022,-0.00300644195109735
0.52,0,-0.0176952901868276,-0.310394902235495,0.0377967339242689,-0.000252106481996902
0.54,0,-0.0176763193877712,-0.264827208377566,0.0395500181014373,0.00246943421578243
0.56,0,-0.0176014072258871,-0.218688393366333,0.0395500181014373,0.00526086649100591
0.58,0,-0.0174724328800479,-0.172085598380052,0.0409038825888549,0.0079293509481634
0.6,0,-0.0172887566528429,-0.125126287631782,0.0418700538345004,0.0106965284130143
0.62,0,-0.0170512029890553,-0.0779193167853302,0.0418700538345004,0.0133229696607366
0.64,0,-0.0167604440811459,-0.0305734612140944,0.0424680556641901,0.0160091748828607
0.66,0,-0.0164173143703416,0.0168019099114439,0.0427218310370277,0.0185481947864143
0.68,0,-0.0160229748209221,0.0640979700095104,0.0427218310370277,0.0211388909849301
0.7,0,-0.015578132761138,0.11120578059628,0.0426568447385014,0.0235580306260251
0.72,0,-0.0150852331957934,0.158017588319167,0.0422978112305782,0.025981241496999
0.74,0,-0.0145447401265609,0.204426289618919,0.0422978112305782,0.0282501191814012
0.76,0,-0.0139600042924427,0.250326343815673,0.0416670510045471,0.0304626694558994
0.78,0,-0.0133311164724908,0.295613612366257,0.0407835465614827,0.0325964253300011
0.8,0,-0.0126612246099206,0.340185468354429,0.0407835465614827,0.0346067635768895
0.82,0,-0.0119509235191556,0.383941369546749,0.0396625643597244,0.0365818667118334
0.84,0,-0.0112032379570783,0.426782527717683,0.0383157098120812,0.0383628660121024
0.86,0,-0.010419709561445,0.468613016173015,0.0383157098120812,0.0401399513882159
0.88,0,-0.00960245791268375,0.509338935100862,0.0367514132565724,0.0417385400801363
0.9,0,-0.00875306591162505,0.548869372701468,0.0349756412223445,0.0433425268462543
0.92,0,-0.00787335715511975,0.587115698913199,0.0349756412223445,0.0447416976742723
0.94,0,-0.00696596628476518,0.623992792831405,0.0329926965860174,0.0461354248469538
0.96,0,-0.00603200270125354,0.659418292713561,0.0308060665677069,0.0473424466989249
0.98,0,-0.00507484540406183,0.693313541990248,0.0308060665677069,0.0484949049007718
1,0,-0.00409508504575799,0.725603210654888,0.0284192980696137,0.0495495481641961
1.02,0,-0.0030946500263102,0.756215419102177,0.0258366244272678,0.0509712105778481
1.04,0,-0.00203145952369755,0.785074072206634,0.0258366244272678,0.0564145272033431
1.06,0,-0.000855956799089074,0.812075028916002,0.0230584543585664,0.0613965690161552
1.08,0,0.000426664530954673,0.837111538686215,0.0200749105961464,0.0679062121894256
1.1,0,0.0018362004712448,0.860071776875999,0.0200749105961464,0.072956290811626
1.12,2,0.00333388022079631,0.880855330993428,0.357735193468158,0.0777185510940352
1.14,2,0.0050907377780487,0.899352902004599,0.581741008199099,0.111576999734847
1.16,2,0.007951556479739,0.915189807153239,0.581741008199099,0.182082041898704
1.18,2,0.0124060984492612,0.927631511078763,0.717555697707042,0.281746334257833
1.2,2,0.0192051024412328,0.935647681378607,0.786296798281068,0.409448191369108
1.22,2,0.0285628671680835,0.937938398390279,0.786296798281068,0.541094465629535
1.24,2,0.0407152396789832,0.933130965451228,0.805346680616824,0.683352621892404
1.26,2,0.0555069967799884,0.919797155710098,0.788855483895282,0.803820478931908
1.28,2,0.0726944058417692,0.896671905169089,0.788855483895282,0.920030048701554
1.3,2,0.0918952354490905,0.862612495349618,0.748183453773504,1.0005602747736
1.32,2,0.11257869600245,0.816777594349197,0.692304496388603,1.0684806538581
1.34,2,0.13431812684094,0.758542673930799,0.692304496388603,1.09975606718046
1.36,2,0.156493236206941,0.687611405804269,0.628173573329272,1.11497896800191
1.38,2,0.178768783685279,0.603924565823205,0.561063164095303,1.10167151590753
1.4,2,0.200567837585186,0.507697100191236,0.561063164095303,1.07323051327917
1.42,2,0.221703068257342,0.399352644445876,0.494870311116761,1.02719162307167
1.44,2,0.241731884940868,0.279498205076215,0.432385821465637,0.968538732660153
1.46,2,0.260589952724328,0.148900165200789,0.432385821465637,0.904814532027202
1.48,2,0.278011549379584,0.0084104401792064,0.375518690765016,0.829465133544347
1.5,2,0.294014881240169,-0.141007659173205,0.325507703569958,0.75987442751794
1.52,2,0.308495750660203,-0.298387863331043,0.325507703569958,0.680523082637455
1.54,2,0.321510830241753,-0.462695068002651,0.283075416992882,0.612738447296316
1.56,2,0.33309638607141,-0.632944162895674,0.248553452507265,0.537853175002768
1.58,2,0.343297654232397,-0.808117930086564,0.248553452507265,0.477190558695389
1.6,2,0.352263741714506,-0.987275536640505,0.221982521646667,0.411715118414195
1.62,2,0.360009189237665,-1.16947326688039,0.203190240729698,0.359983044758518
1.64,2,0.366748481084117,-1.3538475041416,0.203190240729698,0.30696331104422
1.66,2,0.372469832282002,-1.53955797740118,0.191847311713765,0.264061904973145
1.68,2,0.377413854636433,-1.72583120910009,0.187510630154945,0.224249921194699
1.7,2,0.381555599058671,-1.91194150461837,0.187510630154945,0.189839242177837
1.72,2,0.385127048156227,-2.09720896879036,0.189657903746558,0.162588665416796
1.74,2,0.388112187155535,-2.28102173771194,0.197711945213647,0.136107238516274
1.76,2,0.390702687382986,-2.46279285132644,0.197711945213647,0.119939695591828
1.78,2,0.392914312697953,-2.64201623584772,0.211059242218065,0.101119179856118
1.8,2,0.394879554857848,-2.81819622939584,0.229067538886497,0.0943868374731675
1.82,2,0.396659957760405,-2.99092344957197,0.229067538886497,0.082927385400216
1.84,2,0.398320410885602,-3.15979121940649,0.251099077149154,0.0837858457243087
1.86,2,0.399965209759637,-3.32447535050378,0.276520209654451,0.0796407783523807
1.88,2,0.401601962448664,-3.48465548311523,0.276520209654451,0.0859578822586443
1.9,2,0.403368149207646,-3.6400810638089,0.304711802108813,0.0892473143583246
1.92,2,0.405225816521466,-3.79051447931362,0.335078058571393,0.0995365291014162
1.94,2,0.407330820333628,-3.93576957079829,0.335078058571393,0.109398133380747
1.96,2,0.409619482127432,-4.07568553085997,0.367051917971586,0.122748815697503
1.98,2,0.412240607110794,-4.21013222273591,0.400100872798513,0.138475530246669
2,2,0.415134329871397,-4.33901700135682,0.400100872798513,0.153658788046853
2.02,2,0.418418308612285,-4.46225870263656,0.433732670974841,0.174541947664907
2.04,2,0.422052885522238,-4.57982493639303,0.467497551377963,0.19120725925028
2.06,2,0.426113792303763,-4.69167758764192,0.467497551377963,0.215315679343035
2.08,2,0.430591170008671,-4.79783204376839,0.500989959638165,0.233678301450743
2.1,2,0.435508515380665,-4.89828987259189,0.533851071846998,0.25964212441296
2.12,2,0.440898232502122,-4.99310329127329,0.533851071846998,0.279266577639442
2.14,2,0.44672804780131,-5.0823084862055,0.565768560002001,0.305895204064272
2.16,2,0.453062999145718,-5.16598414361589,0.596475035871303,0.326900832635682
2.18,2,0.459834524514458,-5.2441974772291,0.596475035871303,0.352495434628606
2.2,2,0.467123482608066,-5.31704323046422,0.625747789600963,0.375082506432529
2.22,2,0.474840002581653,-5.38461493308148,0.653407005555109,0.39881823789218
2.24,2,0.483068770778658,-5.44701603388518,0.653407005555109,0.422251426250407
2.26,2,0.491715852260714,-5.50436041840032,0.679312140064423,0.443987161730765
2.28,2,0.500849275898177,-5.55675580219388,0.703359666755971,0.467705914475604
2.3,2,0.510393279568068,-5.60433017478069,0.703359666755971,0.486988342501905
2.32,2,0.520382384299522,-5.64719272397581,0.725480694745646,0.5105344995618
2.34,2,0.530771911017202,-5.68547965746104,0.745636642270479,0.527603305607377
2.36,2,0.541557587566682,-5.71930005400693,0.745636642270479,0.549795165254426
2.38,2,0.552729843507796,-5.74879135360247,0.76381605920979,0.565407808247178
2.4,2,0.564247165436788,-5.7740636947122,0.780032118947963,0.585509767736126
2.42,2,0.576133291570811,-5.79525012532211,0.780032118947963,0.599783373491322
2.44,2,0.588312099404374,-5.81246073247817,0.794318462263534,0.617233236665705
2.46,2,0.600831357292226,-5.82581986478533,0.806725678218465,0.630655015533013
2.48,2,0.613599924333472,-5.83543900924949,0.806725678218465,0.644936623682399
2.5,2,0.626672530205638,-5.8414313930545,0.817319328688365,0.657820629733881
2.52,2,0.639958251670485,-5.84390923961398,0.826176898745744,0.668941155619308
2.54,2,0.653504737600709,-5.8429747539577,0.826176898745744,0.681090268262985
2.56,2,0.667235889155604,-5.83873962132346,0.83338424713757,0.689387471447549
2.58,2,0.681178702324543,-5.83129552438205,0.83903383556604,0.700480718568272
2.6,2,0.69528353593512,-5.82075057596968,0.83903383556604,0.706308201772673
2.62,2,0.709548254096601,-5.8071878034354,0.843222813681058,0.716089345965819
2.64,2,0.723956445682192,-5.79071064944963,0.846050165367796,0.720112822209903
2.66,2,0.738476649246939,-5.77139651107745,0.846050165367796,0.728099693403394
2.68,2,0.753122291574538,-5.74934139925899,0.847615104514935,0.730977176337215
2.7,2,0.767835667690035,-5.72462036659051,0.848016108919866,0.736775726991244
2.72,2,0.782654063254711,-5.69732061180382,0.848016108919866,0.739017794466632
2.74,2,0.797504165382308,-5.6675165928139,0.847348719544776,0.742418095287931
2.76,2,0.812433874282665,-5.63528611265364,0.845704417007602,0.744362235827041
2.78,2,0.827370850128602,-5.60070452041437,0.845704417007602,0.745575497935118
2.8,2,0.842361465705602,-5.56384188866657,0.84317063373496,0.747393329521338
2.82,2,0.857344004221722,-5.52477529840253,0.839829803680978,0.746622405605252
2.84,2,0.872349198493597,-5.48356859791844,0.839829803680978,0.748186144105775
2.86,2,0.887336529150083,-5.44030002328655,0.835758749958353,0.745820874502443
2.88,2,0.902315669363469,-5.39502931223487,0.831029600011455,0.746868929036697
2.9,2,0.917271755350098,-5.34783421056961,0.831029600011455,0.743508763368643
2.92,2,0.932191065944229,-5.29877309071739,0.825710107062715,0.743702292817537
2.94,2,0.947084381053665,-5.24792176608937,0.819863251022128,0.739824694564642
2.96,2,0.961914665488515,-5.19533964016121,0.819863251022128,0.738960110405227
2.98,2,0.976715130763938,-5.14110031069839,0.813548062046718,0.735044372590705
3,2,0.991433925912667,-5.08526692649997,0.806820183470999,0.732862266785138
3.02,2,1.00611457065075,-5.02790941998822,0.806820183470999,0.729224072207714
3.04,2,1.02070196159973,-4.96909520326519,0.79973120219803,0.725674045358924
3.06,2,1.03524144833231,-4.90889092951999,0.792328529975218,0.722463289527701
3.08,2,1.04968301366671,-4.84736862249391,0.792328529975218,0.717744070484327
3.1,2,1.06406240005819,-4.78459249682403,0.784655672012708,0.714813280993893
3.12,2,1.0783452850978,-4.72063872903604,0.776751258503749,0.70919866573532
3.14,2,1.0925496000231,-4.65557041499524,0.776751258503749,0.706409815633319
3.16,2,1.10666155483875,-4.58946648450731,0.768648353112128,0.700211979338124
3.18,2,1.12067929444648,-4.52239101683189,0.76037479987241,0.697299924617721
