T_train,NMAE_mean,NMAE_1,NMAE_2
5,0.180005039780467,0.281503919226632,0.078506160334303
10,0.0896437378174355,0.111653514027497,0.0676339616073737
15,0.0911892008396393,0.113571898612986,0.0688065030662929
20,0.124468434905867,0.171979654849984,0.0769572149617499
25,0.0748431261734431,0.122003607624361,0.0276826447225249
30,0.0509560697298095,0.0654788275642017,0.0364333118954173
35,0.050113248926805,0.0642893427961412,0.0359371550574687
40,0.0443061834392271,0.0588151067488587,0.0297972601295956
45,0.041535143976324,0.0530534128876221,0.030016875065026
50,0.0389426687063418,0.0525182606943897,0.025367076718294
55,0.0414297973059376,0.0509439895196415,0.0319156050922338
60,0.039672102920534,0.0500027240231559,0.029341481817912
65,0.0393430105629388,0.0497487994875301,0.0289372216383475
70,0.0396902438041351,0.0499052478784711,0.0294752397297991
75,0.0404043991140719,0.0536545027813035,0.0271542954468404
80,0.0402037590166799,0.0534439327382703,0.0269635852950894
85,0.0415361984664603,0.056404827676445,0.0266675692564756
90,0.0413935261147095,0.055924396380009,0.0268626558494101
95,0.0424259250614067,0.0565019660692245,0.0283498840535889
100,0.0429182546831347,0.057195619835634,0.0286408895306354
105,0.043767959606873,0.0586599370375941,0.0288759821761519
110,0.0438932359930826,0.0591700396337523,0.0286164323524128
115,0.0431822616125168,0.0576075300597259,0.0287569931653077
120,0.0452081711739393,0.0586377702971215,0.0317785720507571
