q,NMAE_mean,NMAE_1,NMAE_2
5,0.0705102167732551,0.0881679777655124,0.0528524557809979
7,0.0699826652128446,0.0970091455980018,0.0429561848276874
9,0.0669732745551145,0.0960075495488572,0.0379389995613718
11,0.0625395400653857,0.0925531162803113,0.0325259638504602
13,0.0656512508412932,0.0896879094787303,0.0416145922038561
15,0.0662861083308741,0.0910284720665452,0.041543744595203
17,0.0671592502900994,0.0934910311206368,0.040827469459562
19,0.0671391436911825,0.0976892637039543,0.0365890236784106
21,0.0658958841046763,0.0950675015272946,0.036724266682058
23,0.065346521435239,0.096406549387023,0.034286493483455
25,0.0641700522785063,0.0947745748597289,0.0335655296972838
27,0.0631595325252233,0.0934971040021104,0.0328219610483362
29,0.0632415147111862,0.0939532310997646,0.0325297983226079
31,0.0622433432555839,0.0968216348694524,0.0276650516417154
33,0.0624309474868198,0.0989114930941981,0.0259504018794415
35,0.0590155139546084,0.0838554220698869,0.03417560583933
37,0.0585062546980736,0.0868359070932086,0.0301766023029385
39,0.0550219835355319,0.0771616696588477,0.0328822974122162
41,0.0531723256407242,0.0769061899846128,0.0294384612968357
43,0.0492739590100529,0.068974095822411,0.0295738221976947
45,0.0466903238270402,0.0633071902650178,0.0300734573890626
47,0.0442611745797594,0.0598955999316203,0.0286267492278985
49,0.0427167193582011,0.0570217980135382,0.028411640702864
50,0.0420615279172779,0.0558256547575753,0.0282974010769805
51,0.0424986148908797,0.0566992914197268,0.0282979383620325
53,0.0422053168108464,0.0577606748739827,0.0266499587477101
54,0.0413929311703427,0.056353901693584,0.0264319606471014
55,0.0404930044356554,0.0547181947910601,0.0262678140802506
57,0.0395109887387347,0.0534637278329993,0.0255582496444701
58,0.0398903342129721,0.0546198306894901,0.0251608377364541
59,0.0398446593811987,0.0495454894261945,0.0301438293362029
61,0.0389690467034492,0.0483016668461055,0.0296364265607929
62,0.0386188983796971,0.0478727784472533,0.029365018312141
63,0.0385183888991872,0.0481962813489174,0.028840496449457
65,0.0385664652236941,0.0497814853289702,0.027351445118418
67,0.0393966408375293,0.052615714288932,0.0261775673861266
69,0.0412979326613575,0.0553420525807612,0.0272538127419537
71,0.0427291684971078,0.0572927511234393,0.0281655858707763
73,0.0420062344724923,0.0581451492108251,0.0258673197341596
75,0.0441765951244366,0.0619611311402108,0.0263920591086624
77,0.0455675119376772,0.0621975706343618,0.0289374532409925
79,0.0427299709798747,0.0571040261088355,0.0283559158509139
81,0.041727131875052,0.0554321815140833,0.0280220822360207
83,0.0407500770860552,0.055445271885105,0.0260548822870055
85,0.0403126722640695,0.0531292142154701,0.0274961303126689
87,0.0395720700790343,0.0513323912993325,0.0278117488587361
89,0.0385708955190647,0.0505395252845174,0.026602265753612
91,0.0386169006215138,0.0505751542445472,0.0266586469984804
