T_train,NMAE_mean,NMAE_1,NMAE_2
5,0.173584360257205,0.232061296528596,0.115107423985813
10,0.143245324870853,0.180993392707489,0.105497257034216
15,0.140151350610407,0.167026486377138,0.113276214843675
20,0.142299463030082,0.166140128312381,0.118458797747782
25,0.142288231268193,0.167980121797764,0.116596340738622
30,0.123666501729425,0.144521960035112,0.102811043423738
35,0.122259601190079,0.14359893427366,0.100920268106498
40,0.116475877841426,0.143515703391522,0.08943605229133
45,0.114444761818012,0.136936485277355,0.0919530383586689
50,0.120488097628854,0.146920509276995,0.0940556859807133
55,0.118867713493858,0.145130522835364,0.0926049041523522
60,0.120641693763709,0.143753165282999,0.0975302222444196
65,0.125352714603923,0.149946349420381,0.100759079787466
70,0.123540812626406,0.147702502819466,0.0993791224333463
75,0.123544204862725,0.147358089171666,0.0997303205537852
80,0.122512732689835,0.146566133728282,0.0984593316513875
85,0.127144605073853,0.14421051545241,0.110078694695297
90,0.127249502664759,0.157075542011585,0.0974234633179318
95,0.127149485693613,0.145134017088859,0.109164954298368
100,0.129186687786586,0.148882717711846,0.109490657861326
105,0.126796657359514,0.146147626099537,0.10744568861949
110,0.127998705920246,0.147686980878643,0.108310430961848
115,0.126559620955228,0.145073416298181,0.108045825612274
120,0.128148464386467,0.143225629685291,0.113071299087643
