T_train,NMAE_mean,NMAE_1,NMAE_2
5,0.0702562570136487,0.084528390957456,0.0559841230698415
10,0.0544935164502143,0.0626993836964231,0.0462876492040055
15,0.0501635410409455,0.0618383470217516,0.0384887350601394
20,0.0461607201824033,0.0610294489664029,0.0312919913984036
25,0.0484534436814272,0.0600003088065246,0.0369065785563299
30,0.0344200754113188,0.042221156472895,0.0266189943497427
35,0.0338268681789648,0.0435183631472296,0.0241353732106999
40,0.0308682242491018,0.0405272810628578,0.0212091674353457
45,0.0330893472334065,0.0438060107264283,0.0223726837403848
50,0.0253955746629732,0.0235774958697377,0.0272136534562087
55,0.0388763067363967,0.0509947759813898,0.0267578374914036
60,0.0394494866091252,0.050988140749138,0.0279108324691124
65,0.0417708575388706,0.0553563383637395,0.0281853767140017
70,0.0420281196681869,0.0564706683002869,0.0275855710360868
75,0.0428230108445094,0.0579201361193844,0.0277258855696343
80,0.0434621701846035,0.0588205688814721,0.0281037714877348
85,0.0434565858389358,0.0589662655219559,0.0279469061559156
90,0.0419282274570032,0.0555293352111405,0.0283271197028659
95,0.04289599673697,0.0569682518758984,0.0288237415980416
100,0.04210275312275,0.0574516778257528,0.0267538284197472
105,0.0416763150448023,0.0552723819908025,0.0280802480988021
110,0.042138504750034,0.0563536026154565,0.0279234068846115
115,0.042769525061879,0.0569027897778323,0.0286362603459256
120,0.0424425710080854,0.0541953249265049,0.0306898170896659
