train_time,estimated_length,percentage_error
0.03,4.08311206142118,308.311206142118
0.06,4.08311206142118,308.311206142118
0.09,4.08311206142118,308.311206142118
0.12,4.08311206142118,308.311206142118
0.15,4.08311206142118,308.311206142118
0.18,4.08311206142118,308.311206142118
0.21,4.08311206142118,308.311206142118
0.24,4.08311206142118,308.311206142118
0.27,4.08311206142118,308.311206142118
0.3,4.08311206142118,308.311206142118
0.33,4.08311206142118,308.311206142118
0.36,4.08311206142118,308.311206142118
0.39,4.08311206142118,308.311206142118
0.42,4.08311206142118,308.311206142118
0.45,4.08311206142118,308.311206142118
0.48,4.08311206142118,308.311206142118
0.51,4.08311206142118,308.311206142118
0.54,4.08311206142118,308.311206142118
0.57,4.08311206142118,308.311206142118
0.6,4.08311206142118,308.311206142118
0.63,4.08311206142118,308.311206142118
0.66,4.08311206142118,308.311206142118
0.69,4.08311206142118,308.311206142118
0.72,4.08311206142118,308.311206142118
0.75,4.08311206142118,308.311206142118
0.78,4.08311206142118,308.311206142118
0.81,4.08311206142118,308.311206142118
0.84,4.08311206142118,308.311206142118
0.87,4.08311206142118,308.311206142118
0.9,2.9704993457225,197.04993457225
0.93,1.43019460377143,43.0194603771433
0.96,1.0949927435125,9.49927435125033
0.99,0.986468613517728,-1.35313864822723
1.02,0.922842580933946,-7.71574190660544
1.05,0.922842580933946,-7.71574190660544
1.08,0.922842580933946,-7.71574190660544
1.11,0.922842580933946,-7.71574190660544
1.14,0.953860345459781,-4.6139654540219
1.17,0.986468613517728,-1.35313864822723
1.2,1.02077801535529,2.07780153552943
1.23,1.05690897003854,5.69089700385381
1.26,1.0949927435125,9.49927435125033
1.29,1.13517264253065,13.5172642530648
1.32,1.17760536476516,17.7605364765161
1.35,1.22246252889114,22.246252889114
1.38,1.26993241259438,26.9932412594383
1.41,1.32022193143222,32.0221931432223
1.44,1.37355889746208,37.3558897462084
1.47,1.43019460377143,43.0194603771433
1.5,1.49040678978091,49.0406789780907
1.53,1.55450305280906,55.4503052809059
1.56,1.55450305280906,55.4503052809059
1.59,1.62282478433611,62.2824784336111
1.62,1.62282478433611,62.2824784336111
1.65,1.69575172526183,69.5751725261833
1.68,1.69575172526183,69.5751725261833
1.71,1.69575172526183,69.5751725261833
1.74,1.69575172526183,69.5751725261833
1.77,1.69575172526183,69.5751725261833
1.8,1.62282478433611,62.2824784336111
1.83,1.62282478433611,62.2824784336111
1.86,1.55450305280906,55.4503052809059
1.89,1.49040678978091,49.0406789780907
1.92,1.43019460377143,43.0194603771433
1.95,1.37355889746208,37.3558897462084
1.98,1.32022193143222,32.0221931432223
2.01,1.26993241259438,26.9932412594383
2.04,1.22246252889114,22.246252889114
2.07,1.22246252889114,22.246252889114
2.1,1.22246252889114,22.246252889114
2.13,1.22246252889114,22.246252889114
2.16,1.22246252889114,22.246252889114
2.19,1.22246252889114,22.246252889114
2.22,1.22246252889114,22.246252889114
2.25,1.22246252889114,22.246252889114
2.28,1.26993241259438,26.9932412594383
2.31,1.26993241259438,26.9932412594383
2.34,1.26993241259438,26.9932412594383
2.37,1.32022193143222,32.0221931432223
2.4,1.32022193143222,32.0221931432223
2.43,1.37355889746208,37.3558897462084
2.46,1.37355889746208,37.3558897462084
2.49,1.37355889746208,37.3558897462084
2.52,1.43019460377143,43.0194603771433
2.55,1.43019460377143,43.0194603771433
2.58,1.43019460377143,43.0194603771433
2.61,1.43019460377143,43.0194603771433
2.64,1.43019460377143,43.0194603771433
2.67,1.43019460377143,43.0194603771433
2.7,1.43019460377143,43.0194603771433
2.73,1.43019460377143,43.0194603771433
2.76,1.43019460377143,43.0194603771433
2.79,1.37355889746208,37.3558897462084
2.82,1.37355889746208,37.3558897462084
2.85,1.32022193143222,32.0221931432223
2.88,1.32022193143222,32.0221931432223
2.91,1.26993241259438,26.9932412594383
2.94,1.26993241259438,26.9932412594383
2.97,1.22246252889114,22.246252889114
3,1.22246252889114,22.246252889114
3.03,1.22246252889114,22.246252889114
3.06,1.22246252889114,22.246252889114
3.09,1.22246252889114,22.246252889114
3.12,1.22246252889114,22.246252889114
3.15,1.22246252889114,22.246252889114
3.18,1.22246252889114,22.246252889114
3.21,1.22246252889114,22.246252889114
3.24,1.22246252889114,22.246252889114
3.27,1.26993241259438,26.9932412594383
3.3,1.26993241259438,26.9932412594383
3.33,1.26993241259438,26.9932412594383
3.36,1.26993241259438,26.9932412594383
3.39,1.32022193143222,32.0221931432223
3.42,1.32022193143222,32.0221931432223
3.45,1.32022193143222,32.0221931432223
3.48,1.32022193143222,32.0221931432223
3.51,1.32022193143222,32.0221931432223
3.54,1.32022193143222,32.0221931432223
3.57,1.37355889746208,37.3558897462084
3.6,1.37355889746208,37.3558897462084
3.63,1.37355889746208,37.3558897462084
3.66,1.37355889746208,37.3558897462084
3.69,1.37355889746208,37.3558897462084
3.72,1.37355889746208,37.3558897462084
3.75,1.32022193143222,32.0221931432223
3.78,1.32022193143222,32.0221931432223
3.81,1.32022193143222,32.0221931432223
3.84,1.32022193143222,32.0221931432223
3.87,1.32022193143222,32.0221931432223
3.9,1.26993241259438,26.9932412594383
3.93,1.26993241259438,26.9932412594383
3.96,1.26993241259438,26.9932412594383
3.99,1.26993241259438,26.9932412594383
4.02,1.26993241259438,26.9932412594383
4.05,1.26993241259438,26.9932412594383
4.08,1.26993241259438,26.9932412594383
4.11,1.26993241259438,26.9932412594383
4.14,1.26993241259438,26.9932412594383
4.17,1.26993241259438,26.9932412594383
4.2,1.26993241259438,26.9932412594383
4.23,1.26993241259438,26.9932412594383
