T_train,NMAE_mean,NMAE_1,NMAE_2
5,0.0687310319544361,0.0831226358924744,0.0543394280163978
10,0.0705151741388776,0.085195046286698,0.0558353019910573
15,0.0744533682951569,0.0958832316863895,0.0530235049039244
20,0.0683736208960178,0.0883224482596698,0.0484247935323657
25,0.0675450001174629,0.0865368141072784,0.0485531861276474
30,0.0582398460069999,0.0865248635368226,0.0299548284771772
35,0.0427106517407514,0.0543005777390574,0.0311207257424455
40,0.0390170354920555,0.049516409316807,0.0285176616673039
45,0.0375034356713891,0.0447092925833534,0.0302975787594248
50,0.0403257868307702,0.0486043003228879,0.0320472733386525
55,0.0396375795126454,0.0464532110889941,0.0328219479362967
60,0.038872797525426,0.0462338417174006,0.0315117533334513
65,0.0425055267980896,0.0540731487886283,0.030937904807551
70,0.0426637254151707,0.054665325473749,0.0306621253565925
75,0.0426050507711506,0.053723673458885,0.0314864280834162
80,0.0426671058718264,0.0545388285600737,0.0307953831835792
85,0.0438900643840813,0.0573772535268237,0.030402875241339
90,0.041700062485608,0.0535117231438795,0.0298884018273366
95,0.0406687396298704,0.0537410767059053,0.0275964025538354
100,0.0415753116491017,0.0539923956314447,0.0291582276667587
105,0.0449657176976861,0.059021045952841,0.0309103894425313
110,0.0451185567226931,0.0596841072208278,0.0305530062245583
115,0.0454920885412974,0.0602823293662269,0.0307018477163679
120,0.0468748233645463,0.0624578354940034,0.0312918112350892
