q,NMAE_mean,NMAE_1,NMAE_2
4,0.09116219552196,0.100378434516303,0.0819459565276169
6,0.0809955068162027,0.107567676124986,0.0544233375074195
8,0.0758004697294057,0.106467775545739,0.0451331639130727
10,0.071058125007708,0.10866871071821,0.0334475392972056
12,0.0743670893345093,0.107343267467041,0.0413909112019777
14,0.076057056469048,0.11030017971003,0.0418139332280664
16,0.0754934041124621,0.106486959906098,0.0444998483188262
18,0.0726747553234198,0.113756084061771,0.0315934265850683
20,0.0730015084091661,0.106329700570566,0.0396733162477666
22,0.072676332789328,0.108816660221627,0.0365360053570292
24,0.0712122988759392,0.108039558441177,0.0343850393107016
26,0.0708403638659503,0.107852774853955,0.033827952877946
28,0.0708925511306044,0.110014671753147,0.031770430508062
30,0.070610024173619,0.106272612004772,0.0349474363424658
32,0.0678271623391379,0.105671611195755,0.0299827134825212
34,0.0658546603441058,0.10116345362063,0.0305458670675819
36,0.0637255617367437,0.0967519430185814,0.0306991804549059
38,0.0633977239018741,0.0920331310369876,0.0347623167667606
40,0.0601460191083708,0.0813339552354566,0.0389580829812849
42,0.0595480517086786,0.086947334681125,0.0321487687362321
44,0.0583517010186519,0.0822407359296776,0.0344626661076262
46,0.0567905428964612,0.0808067406080204,0.032774345184902
48,0.0590887565951944,0.0849557980985183,0.0332217150918706
50,0.0606535331833889,0.0830801086484049,0.0382269577183729
52,0.053562529585956,0.0664746271607023,0.0406504320112097
54,0.04896769806232,0.0573166989572468,0.0406186971673932
56,0.0514263532107164,0.0577534797942676,0.0450992266271652
58,0.0541507516925681,0.0625223393970517,0.0457791639880845
60,0.0527210542334963,0.0688991462973011,0.0365429621696915
62,0.0512026125301316,0.0733357696027262,0.029069455457537
64,0.0493583080392727,0.0696014751408795,0.029115140937666
66,0.0494172575123854,0.067422142154842,0.0314123728699289
68,0.0498958217790775,0.0651581491080955,0.0346334944500595
70,0.0500165952106049,0.065980025438735,0.0340531649824748
72,0.0453104995022613,0.0571828535403891,0.0334381454641334
74,0.0453476482396291,0.0558571861235772,0.0348381103556809
76,0.0477897405889792,0.0570627475328861,0.0385167336450722
78,0.04841279726926,0.057152243476323,0.0396733510621971
80,0.0484087837991548,0.0554123432012595,0.0414052243970501
82,0.0481374406536078,0.0549103894472999,0.0413644918599156
84,0.0459834726386715,0.0572859010978572,0.0346810441794858
86,0.0424047088071981,0.0538738563082825,0.0309355613061138
88,0.0400735269970917,0.0494023932375621,0.0307446607566213
90,0.0403257868307702,0.0486043003228879,0.0320472733386525
92,0.0403626116704297,0.0524904224543307,0.0282348008865287
94,0.0404051871594696,0.0531621349314294,0.0276482393875098
96,0.0401486337518907,0.0544752468761512,0.0258220206276303
98,0.0409765520041045,0.055346749423942,0.0266063545842669
100,0.0420187691290885,0.0551947378223582,0.0288428004358188
