T_train,NMAE_mean,NMAE_1,NMAE_2
5,0.137406256947593,0.156748218893809,0.118064295001378
10,0.13501773870083,0.165888596634198,0.104146880767462
15,0.138702279965087,0.173839388968469,0.103565170961705
20,0.13570498549148,0.161106620118458,0.110303350864501
25,0.136015468042489,0.164492302835617,0.107538633249361
30,0.121072110047519,0.141464142788485,0.100680077306552
35,0.121121683263834,0.142517050334463,0.0997263161932049
40,0.11818754403744,0.146147845025754,0.0902272430491271
45,0.115169065414122,0.137984307646775,0.0923538231814696
50,0.120539099462243,0.146932643916658,0.0941455550078285
55,0.120739617024129,0.146934591135433,0.0945446429128255
60,0.121581593891484,0.14787139185309,0.0952917959298772
65,0.125229838252953,0.149840040454026,0.100619636051881
70,0.123640568635339,0.150957707759749,0.0963234295109293
75,0.124012705483603,0.15122946589489,0.096795945072317
80,0.123938229143006,0.151392609359454,0.0964838489265585
85,0.127150120638441,0.155006602078881,0.0992936391980019
90,0.127348975142179,0.156928644034466,0.0977693062498915
95,0.127025778213719,0.141398764231342,0.112652792196095
100,0.128573574417831,0.143602147082596,0.113545001753067
105,0.126834869197837,0.142289625117238,0.111380113278436
110,0.127446417386454,0.143023360282621,0.111869474490287
115,0.126314762194179,0.145640306622412,0.106989217765945
120,0.12721725661855,0.144029956396878,0.110404556840223
