q,NMAE_mean,NMAE_1,NMAE_2
5,0.0698739854595879,0.0869575494800915,0.0527904214390843
7,0.0701386098988534,0.0859186834429977,0.054358536354709
9,0.0691380590173307,0.0980824989837972,0.0401936190508641
11,0.0620956287292733,0.0879844816545072,0.0362067758040394
13,0.065609381220116,0.0874006586892522,0.0438181037509799
15,0.0662590117089034,0.0884962662892638,0.0440217571285429
17,0.0668921509843913,0.0903067395184936,0.0434775624502891
19,0.0662501591295667,0.0958037444114071,0.0366965738477262
21,0.0648885806161378,0.0889862270611329,0.0407909341711427
23,0.0655635344498772,0.0877881102855131,0.0433389586142413
25,0.0636314973035373,0.0895737446995027,0.0376892499075719
27,0.0608112711470315,0.0860658186854357,0.0355567236086273
29,0.0595476834240736,0.0857405014557986,0.0333548653923486
31,0.0606620294147609,0.0931250673651205,0.0281989914644014
33,0.0610567825135549,0.0959994124558559,0.026114152571254
35,0.058263016794357,0.0828437698981132,0.0336822636906007
37,0.0551070219850219,0.0761536720886605,0.0340603718813834
39,0.0532258022500423,0.0770269880123591,0.0294246164877256
41,0.0497967173833438,0.0694268329826259,0.0301666017840616
43,0.0475125682273409,0.0649984235415922,0.0300267129130896
45,0.0459937610477911,0.0631795624861381,0.028807959609444
47,0.0441906650243143,0.0594201132575585,0.0289612167910701
49,0.0431962905030692,0.0575380427821754,0.028854538223963
50,0.0433063712994275,0.0590282538482576,0.0275844887505974
51,0.0426984838619208,0.0563511438319317,0.0290458238919099
53,0.0415333475522691,0.0564462801131227,0.0266204149914155
54,0.0404110214632316,0.053246318794833,0.0275757241316302
55,0.0398458841207083,0.0517438784693949,0.0279478897720217
57,0.0387352929295245,0.0516551099081494,0.0258154759508995
59,0.0404122986140634,0.0509382646128399,0.0298863326152869
61,0.0404823047369099,0.0513826587651214,0.0295819507086985
63,0.0408058574315911,0.0517030262823069,0.0299086885808753
65,0.0408489896490298,0.0504853471154624,0.0312126321825972
67,0.0409911085670796,0.053004082613618,0.0289781345205413
69,0.0413463464980062,0.0554368293862599,0.0272558636097525
71,0.0438425286557302,0.0589492688799258,0.0287357884315345
73,0.0418578446824509,0.0579971745990214,0.0257185147658803
75,0.044246162031184,0.0621871300916849,0.0263051939706832
77,0.0458188835080677,0.0625294693868337,0.0291082976293017
79,0.0417555462678623,0.0556402519508421,0.0278708405848825
81,0.0413939945559243,0.0546718795895652,0.0281161095222834
83,0.0410462312316743,0.0559077639670904,0.0261846984962581
85,0.0409210096584916,0.0530828300481022,0.028759189268881
87,0.0397832162303783,0.0510450075536375,0.028521424907119
89,0.0383044382986623,0.0505210262887727,0.0260878503085519
91,0.0380195093972232,0.049768001331426,0.0262710174630205
