T_train,NMAE_mean,NMAE_1,NMAE_2
5,0.157524714117871,0.251302753725152,0.0637466745105896
10,0.0744268701292003,0.0908385778273674,0.0580151624310333
15,0.0855519306687172,0.100470802968791,0.0706330583686437
20,0.0707387957145083,0.0845823339396735,0.0568952574893431
25,0.0728591483656995,0.0892947452081043,0.0564235515232948
30,0.0571406445133225,0.0833196403750339,0.0309616486516111
35,0.0406300140093588,0.0495277839760736,0.031732244042644
40,0.0357164487762468,0.0462790714644054,0.0251538260880881
45,0.034234734719322,0.0392569764233303,0.0292124930153137
50,0.0367584303938733,0.0445544928641934,0.0289623679235531
55,0.0373418640119941,0.0432872199904156,0.0313965080335727
60,0.035134028567682,0.0446709254483337,0.0255971316870303
65,0.0395992264568548,0.0504714653804661,0.0287269875332434
70,0.03910538149123,0.049160343572735,0.0290504194097249
75,0.0390189197894773,0.0489016002936813,0.0291362392852733
80,0.0388030638176282,0.0506071896400131,0.0269989379952433
85,0.039682116831996,0.0508206892014605,0.0285435444625315
90,0.0380718377321289,0.0482545813096356,0.0278890941546222
95,0.0390655972631202,0.0495244443909759,0.0286067501352645
100,0.0381815399323242,0.0477876875446013,0.0285753923200471
105,0.0468101130985941,0.0648361636856722,0.028784062511516
110,0.0474308247763191,0.0650127565404085,0.0298488930122296
115,0.047491437881018,0.0650067440952396,0.0299761316667963
120,0.0485678980338029,0.066236794804073,0.0308990012635328
