index,S
53,0.143597267069696
54,0.132934536766875
55,0.131710813667649
56,0.108345072017507
57,0.102551565902035
58,0.100020431797742
59,0.0981064806858772
60,0.0853101103916984
61,0.0812387065542741
62,0.0736010666922388
63,0.0667246772267849
64,0.056531355531716
65,0.0553191181191431
66,0.0550141452297241
67,0.0500295137952585
68,0.048214835187237
69,0.0469430407553837
70,0.0454005661734017
71,0.0419629562712366
72,0.0390969545458915
73,0.0380278258428577
74,0.0340220167517901
75,0.0324038321360036
76,0.0306590759117512
77,0.0299727838808064
78,0.0293362775595638
79,0.0262432288668826
80,0.0233283674242747
81,0.0228586182278142
82,0.021232019085884
83,0.0207904162011678
84,0.0200536241150863
85,0.0199219345790618
86,0.0187614573398427
87,0.0186017099780544
88,0.0179875028482463
89,0.0170415416943703
90,0.0162136202190017
91,0.0160915414051973
92,0.0144555052275758
93,0.0136715144667659
94,0.0129432348022751
95,0.0125021910699165
96,0.0122316058315314
97,0.0120451532898603
98,0.0115963488467634
99,0.0100806965458786
100,0.00996957857021951
101,0.0097018490181155
102,0.0094214055085621
103,0.00922457528496169
104,0.00877359015408516
105,0.00860899824588716
106,0.00843250728977717
107,0.00806845878518011
108,0.00751419961432947
109,0.00727315272676144
110,0.00671274255172948
111,0.00640576530612098
112,0.00587397980539048
113,0.00563248555009623
114,0.00519652548034282
115,0.00506291844476776
116,0.00496916248346754
117,0.00425226539833453
118,0.00416515119424249
119,0.00409413495768988
120,0.00406488371282192
121,0.00402302089565953
122,0.00387096099235355
123,0.00385107013935602
124,0.00383800904495208
125,0.00366101597632795
126,0.00357091638967445
127,0.00323481094067994
128,0.00310288329832357
129,0.00291938645068056
130,0.00290938884622154
131,0.00288335099978377
132,0.00280580945795134
133,0.00274909119517251
134,0.00248812393102672
135,0.00247806896293926
136,0.00246045285736166
137,0.00242544101682696
138,0.00235532534924521
139,0.0020884064435946
140,0.00198136002260522
141,0.00196969852411361
142,0.00163672024184621
143,0.00162385918159641
144,0.00154012212317807
145,0.00129826547961738
146,0.001171988421773
147,0.00113553619482128
148,0.00112959140105979
149,0.00112067745198208
150,0.00111381823785942
151,0.00105863643004324
152,0.00101228777277174
153,0.000953509890485922
154,0.000819923845150654
155,0.000640860018440232
156,0.000605105566828236
157,0.000595956772181269
158,0.00051028612213761
159,0.000505940426273024
160,0.00049599109804521
161,0.000485885659258652
162,0.000430047869011177
163,0.000426451891305945
164,0.000413655698537627
165,0.00036488012752784
166,0.000361961130135739
167,0.000327383595578669
168,0.000273768300199096
169,0.000256959842729549
170,0.000253313176123004
171,0.000244715250041275
172,0.000229019594345366
173,0.000228030821639633
174,0.000218202908614838
175,0.000217526784795745
176,0.000206847440911935
177,0.000203567864874074
178,0.0001610283699541
179,0.000154955472479788
180,0.000125807782354444
181,0.000122986348456776
182,8.91453327933056e-05
183,8.73292744334494e-05
