T_train,NMAE_mean,NMAE_1,NMAE_2
5,0.152743932808112,0.238966085937789,0.066521779678435
10,0.0864558051039293,0.1056242852367,0.0672873249711587
15,0.0833962308723958,0.124461771414405,0.0423306903303868
20,0.0879827278340276,0.125366939348838,0.0505985163192168
25,0.0781654269781407,0.122049713531745,0.0342811404245364
30,0.0459652924701532,0.058938186369966,0.0329923985703403
35,0.0372265629549636,0.0474549426390243,0.026998183270903
40,0.0347186306024333,0.0471329089064725,0.0223043522983941
45,0.0348102895200419,0.0465250355501588,0.023095543489925
50,0.0306653055486819,0.0416099284575523,0.0197206826398115
55,0.0340517431413234,0.0453424607372083,0.0227610255454386
60,0.0336848958853018,0.0448832331799953,0.0224865585906082
65,0.0333295234651625,0.0441104572712254,0.0225485896590996
70,0.0344311228352589,0.045789429645725,0.0230728160247929
75,0.0337082315602035,0.0449725595336156,0.0224439035867913
80,0.0330226747436258,0.0440095186016252,0.0220358308856264
85,0.032937111749296,0.043746506192761,0.0221277173058311
90,0.0327630831055466,0.0432135265001574,0.0223126397109357
95,0.0331389366057388,0.0436522635551385,0.022625609656339
100,0.0338684229251813,0.0449983926507167,0.0227384531996459
105,0.0348126660652854,0.046926763666365,0.0226985684642057
110,0.0349032074910472,0.0472888286719243,0.0225175863101701
115,0.0347548232073831,0.0470792773265559,0.0224303690882103
120,0.034557013247257,0.0459298367336606,0.0231841897608533
