T_train,NMAE_mean,NMAE_1,NMAE_2
5,0.0479499474062366,0.0588943319501714,0.0370055628623018
10,0.0384953490157861,0.0560661003488942,0.0209245976826781
15,0.0397029573962764,0.0558854870170469,0.0235204277755058
20,0.0388624751231842,0.0532146689613537,0.0245102812850148
25,0.038391514837566,0.0599826397648383,0.0168003899102937
30,0.0430528025795022,0.0623411449438654,0.023764460215139
35,0.0368809054572612,0.050630957190573,0.0231308537239495
40,0.0366548831451197,0.0515805917994361,0.0217291744908033
45,0.0351868225305439,0.0459719872330646,0.0244016578280232
50,0.0384627317332472,0.0584538450722967,0.0184716183941977
55,0.0423017723839095,0.0480972056608339,0.036506339106985
60,0.0422079154909741,0.0473991385400666,0.0370166924418816
65,0.0423901388912579,0.0500428239820054,0.0347374538005105
70,0.0424999007703794,0.0505246429117554,0.0344751586290033
75,0.0424707763569851,0.0503568265950646,0.0345847261189055
80,0.0423824977954544,0.050112632385632,0.0346523632052768
85,0.0422372776843006,0.0487778082447805,0.0356967471238206
90,0.0429076246145482,0.0489742867176841,0.0368409625114123
95,0.0427565905794612,0.0484896723089615,0.0370235088499608
100,0.0418632247064146,0.047825218948233,0.0359012304645962
105,0.0429324879364518,0.0513847141613645,0.034480261711539
110,0.0426898125430541,0.050232197082329,0.0351474280037791
115,0.0428794305010581,0.0517693556564595,0.0339895053456568
120,0.0435011502237636,0.0515705952989522,0.0354317051485751
