train_time,estimated_length,percentage_error
0.03,4.08311206140571,308.311206140571
0.06,4.08311206140571,308.311206140571
0.09,4.08311206140571,308.311206140571
0.12,4.08311206140571,308.311206140571
0.15,4.08311206140571,308.311206140571
0.18,4.08311206140571,308.311206140571
0.21,4.08311206140571,308.311206140571
0.24,4.08311206140571,308.311206140571
0.27,4.08311206140571,308.311206140571
0.3,4.08311206140571,308.311206140571
0.33,4.08311206140571,308.311206140571
0.36,4.08311206140571,308.311206140571
0.39,4.08311206140571,308.311206140571
0.42,4.08311206140571,308.311206140571
0.45,4.08311206140571,308.311206140571
0.48,4.08311206140571,308.311206140571
0.51,4.08311206140571,308.311206140571
0.54,4.08311206140571,308.311206140571
0.57,4.08311206140571,308.311206140571
0.6,4.08311206140571,308.311206140571
0.63,4.08311206140571,308.311206140571
0.66,4.08311206140571,308.311206140571
0.69,4.08311206140571,308.311206140571
0.72,4.08311206140571,308.311206140571
0.75,4.08311206140571,308.311206140571
0.78,4.08311206140571,308.311206140571
0.81,4.08311206140571,308.311206140571
0.84,4.08311206140571,308.311206140571
0.87,3.57325415571509,257.325415571509
0.9,1.55450305280317,55.4503052803168
0.93,1.1776053647607,17.7605364760699
0.96,1.02077801535143,2.07780153514263
0.99,0.98646861351399,-1.35313864860104
1.02,0.953860345456166,-4.61396545438337
1.05,0.953860345456166,-4.61396545438337
1.08,0.953860345456166,-4.61396545438337
1.11,0.98646861351399,-1.35313864860104
1.14,0.98646861351399,-1.35313864860104
1.17,1.02077801535143,2.07780153514263
1.2,1.05690897003453,5.69089700345333
1.23,1.09499274350835,9.4992743508354
1.26,1.13517264252635,13.5172642526347
1.29,1.1776053647607,17.7605364760699
1.32,1.22246252888651,22.2462528886507
1.35,1.26993241258957,26.993241258957
1.38,1.32022193142722,32.0221931427219
1.41,1.37355889745688,37.3558897456879
1.44,1.37355889745688,37.3558897456879
1.47,1.43019460376601,43.0194603766013
1.5,1.49040678977526,49.0406789775259
1.53,1.49040678977526,49.0406789775259
1.56,1.49040678977526,49.0406789775259
1.59,1.55450305280317,55.4503052803168
1.62,1.55450305280317,55.4503052803168
1.65,1.55450305280317,55.4503052803168
1.68,1.55450305280317,55.4503052803168
1.71,1.49040678977526,49.0406789775259
1.74,1.49040678977526,49.0406789775259
1.77,1.43019460376601,43.0194603766013
1.8,1.37355889745688,37.3558897456879
1.83,1.32022193142722,32.0221931427219
1.86,1.26993241258957,26.993241258957
1.89,1.22246252888651,22.2462528886507
1.92,1.1776053647607,17.7605364760699
1.95,1.13517264252635,13.5172642526347
1.98,1.13517264252635,13.5172642526347
2.01,1.13517264252635,13.5172642526347
2.04,1.13517264252635,13.5172642526347
2.07,1.13517264252635,13.5172642526347
2.1,1.13517264252635,13.5172642526347
2.13,1.13517264252635,13.5172642526347
2.16,1.1776053647607,17.7605364760699
2.19,1.1776053647607,17.7605364760699
2.22,1.1776053647607,17.7605364760699
2.25,1.22246252888651,22.2462528886507
2.28,1.22246252888651,22.2462528886507
2.31,1.22246252888651,22.2462528886507
2.34,1.26993241258957,26.993241258957
2.37,1.26993241258957,26.993241258957
2.4,1.26993241258957,26.993241258957
2.43,1.32022193142722,32.0221931427219
2.46,1.32022193142722,32.0221931427219
2.49,1.32022193142722,32.0221931427219
2.52,1.32022193142722,32.0221931427219
2.55,1.32022193142722,32.0221931427219
2.58,1.37355889745688,37.3558897456879
2.61,1.37355889745688,37.3558897456879
2.64,1.32022193142722,32.0221931427219
2.67,1.32022193142722,32.0221931427219
2.7,1.32022193142722,32.0221931427219
2.73,1.32022193142722,32.0221931427219
2.76,1.26993241258957,26.993241258957
2.79,1.26993241258957,26.993241258957
2.82,1.26993241258957,26.993241258957
2.85,1.22246252888651,22.2462528886507
2.88,1.22246252888651,22.2462528886507
2.91,1.22246252888651,22.2462528886507
2.94,1.22246252888651,22.2462528886507
2.97,1.1776053647607,17.7605364760699
3,1.1776053647607,17.7605364760699
3.03,1.1776053647607,17.7605364760699
3.06,1.1776053647607,17.7605364760699
3.09,1.1776053647607,17.7605364760699
3.12,1.22246252888651,22.2462528886507
3.15,1.22246252888651,22.2462528886507
3.18,1.22246252888651,22.2462528886507
3.21,1.22246252888651,22.2462528886507
3.24,1.22246252888651,22.2462528886507
3.27,1.22246252888651,22.2462528886507
3.3,1.26993241258957,26.993241258957
3.33,1.26993241258957,26.993241258957
3.36,1.26993241258957,26.993241258957
3.39,1.26993241258957,26.993241258957
3.42,1.26993241258957,26.993241258957
3.45,1.26993241258957,26.993241258957
3.48,1.26993241258957,26.993241258957
3.51,1.32022193142722,32.0221931427219
3.54,1.32022193142722,32.0221931427219
3.57,1.26993241258957,26.993241258957
3.6,1.26993241258957,26.993241258957
3.63,1.26993241258957,26.993241258957
3.66,1.26993241258957,26.993241258957
3.69,1.26993241258957,26.993241258957
3.72,1.26993241258957,26.993241258957
3.75,1.26993241258957,26.993241258957
3.78,1.22246252888651,22.2462528886507
3.81,1.22246252888651,22.2462528886507
3.84,1.22246252888651,22.2462528886507
3.87,1.22246252888651,22.2462528886507
3.9,1.22246252888651,22.2462528886507
3.93,1.22246252888651,22.2462528886507
3.96,1.22246252888651,22.2462528886507
3.99,1.22246252888651,22.2462528886507
4.02,1.22246252888651,22.2462528886507
4.05,1.22246252888651,22.2462528886507
4.08,1.22246252888651,22.2462528886507
4.11,1.22246252888651,22.2462528886507
4.14,1.22246252888651,22.2462528886507
4.17,1.22246252888651,22.2462528886507
4.2,1.22246252888651,22.2462528886507
4.23,1.22246252888651,22.2462528886507
